,category,headline,authors,link,short descr,date,image_caption(s),image_link(s)
0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,"Amanda Painter is the sole survivor of a May 16 shooting by her ex-husband, Justin Painter.",https://img.huffingtonpost.com/asset/5b081b101e00007d038e699f.jpeg?cache=DAfEABijGE&ops=scalefit_1280_noupscale
1,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,"Donna Bloom, director of legal services at Denton County Friends of the Family, visits Amanda at the transitional housing.",https://img.huffingtonpost.com/asset/5b081d6c1e0000bf048e69a4.jpeg?ops=scalefit_1280_noupscale
2,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/5b081c9f1e00007d038e69a3.jpeg?ops=scalefit_1280_noupscale
3,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/5b0844b51a00002700cdfcb3.jpeg?ops=scalefit_1280_noupscale
4,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,"Melissa Jeltsen - Senior Reporter, HuffPost",https://img.huffingtonpost.com/asset/5c1128ec2400002b055871f8.png?ops=100_100
5,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62badb07210000a9505ee929.jpeg?cache=p6C4EMgTNE&ops=434_244%2Cquality_75
6,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62badb07210000a9505ee929.jpeg?cache=p6C4EMgTNE&ops=240_240
7,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62ba8bbd250000174f32ecef.jpeg?cache=Ly35ArX5TZ&ops=434_244%2Cquality_75
8,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62ba8bbd250000174f32ecef.jpeg?cache=Ly35ArX5TZ&ops=240_240
9,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62ba810f22000000434f7d69.jpeg?cache=EFC7SNBQPi&ops=434_244%2Cquality_75
