,Unnamed: 0,category,headline,authors,link,short descr,date,labelexplain,VizEntailment,image_caption(s),image_link(s),OFAcaption,Headline,Short_descr,Image_Caption(s),OFACAPTION,headlineandshortdescr,shortdescrncaption,headlineandcaption,headlineandOFA,shortdescrandOFA,actualcaptionandOFA
0,0,POLITICS,Ireland Votes To Repeal Abortion Amendment In Landslide Referendum,Laura Bassett,https://www.huffingtonpost.com/entry/results-for-irelands-historic-abortion-referendum-show-yes-vote-leads_us_5b086497e4b0802d69cb2cff,Irish women will no longer have to travel to the United Kingdom to end their pregnancies.,2018-05-26,"neutral because the caption talks about women and there are women present in the picture however, the image does not hint at referendums or depciting a government that for centuries operated as a theocracy",N,The landmark referendum heralds a new era for women’s rights in a government that for centuries operated as a theocracy.,https://img.huffingtonpost.com/asset/5b0865f81e0000a6048e6a45.jpeg?ops=scalefit_720_noupscale,two people walking in front of a mural on a wall,0.68584234,0.007190041,0.2996749,0.007292813,"('contradiction', ' 0.52%')","('contradiction', ' 0.70%')","('contradiction', ' 0.82%')","('contradiction', ' 0.78%')","('contradiction', ' 0.73%')","('contradiction', ' 0.80%')"
1,1,POLITICS,"Jack Johnson Was Pardoned, But Taboo Sex Is Still Being Criminalized",Jenavieve Hatch,https://www.huffingtonpost.com/entry/jack-johnson-taboo-sex-criminalized_us_5b08718be4b0802d69cb376a,A new law to fight sex trafficking targets some of the people it ostensibly aims to protect.,2018-05-25,the caption describes the image itself,E,"Jack Johnson in 1920 with his second wife, Lucille Cameron. He was often criticized for his romantic relationships with white women.",https://img.huffingtonpost.com/asset/5b08732d1e00002c008e6a4f.jpeg?ops=scalefit_720_noupscale,a black and white photo of a man and a woman,0.031766154,3.5855767E-06,0.23145692,0.7367733,"('neutral', ' 0.80%')","('contradiction', ' 0.87%')","('neutral', ' 0.66%')","('contradiction', ' 0.58%')","('contradiction', ' 0.65%')","('contradiction', ' 0.77%')"
2,2,CRIME,Rachel Dolezal Faces Felony Charges For Welfare Fraud,Carla Herreria,https://www.huffingtonpost.com/entry/rachel-dolezal-charged-welfare-fraud_us_5b075ffae4b0568a8809a8c4,"State prosecutors say almost $84,000 had been deposited into her bank account while she was receiving public assistance.",2018-05-25,the caption talks about Rachel and there is a womas shown in the picture which should be her. It is neutral becasuse otherwise the image does not depict anything else the caption is saying like money or food or Washington state's Department of Social and Health Services,N,"Rachel Dolezal reportedly received over $80,000 while receiving food assistance and child care assistance from Washington state’s Department of Social and Health Services.",https://img.huffingtonpost.com/asset/5b0774621e00002c008e6896.jpeg?ops=scalefit_720_noupscale,a woman standing in front of a video camera,0.7574995,0.0008509979,0.15354294,0.08810656,"('neutral', ' 0.65%')","('contradiction', ' 0.64%')","('contradiction', ' 0.63%')","('contradiction', ' 0.77%')","('contradiction', ' 0.69%')","('contradiction', ' 0.71%')"
3,3,POLITICS,Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus',Carol Kuruvilla,https://www.huffingtonpost.com/entry/bishop-michael-curry-joins-christian-march-to-white-house-to-reclaim-jesus_us_5b07261ae4b0fdb2aa51b060,"For Curry and others, being Christian means rejecting white nationalism and misogyny, while protecting immigrants, refugees and the poor.",2018-05-25,,E,"Bishop Michael Curry (C) leaves the National City Christian Church to march to the White House for a vigil on May 24, 2018.",https://img.huffingtonpost.com/asset/5b0830721a00002700cdfc6f.jpeg?ops=scalefit_720_noupscale,a group of people walking down the street at a protest,0.45145008,0.0017647622,0.5417752,0.0050098896,"('neutral', ' 0.72%')","('neutral', ' 0.84%')","('neutral', ' 0.87%')","('contradiction', ' 0.73%')","('contradiction', ' 0.69%')","('contradiction', ' 0.72%')"
4,4,CRIME,"Man Faces Charges After Pulling Knife, Stun Gun On Muslim Students At McDonald's",Jenna Amatulli,https://www.huffingtonpost.com/entry/man-knife-stun-gun-muslim-students_us_5b084cece4b0802d69cb1ba8,"“We thought we were going to die,"" one of the students said.",2018-05-25,,N,"John Jay Smith, 60, faces multiple felony charges for threatening Muslim students with weapons while they were eating outside a McDonald's in Florida.",https://img.huffingtonpost.com/asset/5b0857ea1e00007d038e6a2c.png?cache=Yy57LUFlOs&ops=scalefit_720_noupscale,a screenshot of a news report with a man saying get out of my country,0.010604714,2.0130542E-06,0.9883521,0.0010412218,"('contradiction', ' 0.50%')","('neutral', ' 0.63%')","('neutral', ' 0.82%')","('contradiction', ' 0.67%')","('contradiction', ' 0.57%')","('contradiction', ' 0.71%')"
5,5,CRIME,2 People Injured In Indiana School Shooting,Marina Fang,https://www.huffingtonpost.com/entry/indiana-middle-school-active-shooter_us_5b0811c2e4b0802d69ca90f2,"A male student, believed to be the suspect, has been detained, according to police.",2018-05-25,,E,A student and adult embrace outside Noblesville West Middle School after a shooting at the Indiana school on Friday.,https://img.huffingtonpost.com/asset/5b0865061e00002c008e6a41.jpeg?cache=v7ZRM7DvTC&ops=scalefit_720_noupscale,a woman holding a child in front of a school bus,0.0016669616,4.7310525E-05,0.98479,0.0134957405,"('neutral', ' 0.72%')","('neutral', ' 0.80%')","('neutral', ' 0.82%')","('contradiction', ' 0.83%')","('contradiction', ' 0.67%')","('contradiction', ' 0.75%')"
6,6,ENTERTAINMENT,David Cross Proves Yet Again That He’s Terrible At Apologizing,Elyse Wanshel,https://www.huffingtonpost.com/entry/david-cross-terrible-at-apologizing-jessica-walter_us_5b0813d8e4b0802d69ca9787,The comedian suggested Jessica Walter was also abusive on set after saying he’d apologize for defending Jeffrey Tambor.,2018-05-25,Because David Cross is indeed present in the picture however it is not entailment,N,"David Cross first defended Jeffrey Tambor against Jessica Walter's criticism and then said Walter once yelled, too.",https://img.huffingtonpost.com/asset/5b08635a1e0000bf048e6a3f.jpeg?cache=3X8oK6kOSE&ops=scalefit_720_noupscale,a man with a beard and a hat,0.7937214,0.0002289435,0.20515664,0.0008930591,"('neutral', ' 0.90%')","('neutral', ' 0.63%')","('neutral', ' 0.93%')","('contradiction', ' 0.61%')","('contradiction', ' 0.65%')","('contradiction', ' 0.68%')"
7,7,ENTERTAINMENT,'Sesame Street' Creators Sue Makers Of Upcoming Adult-Themed Puppet Film,Andy McDonald,https://www.huffingtonpost.com/entry/sesame-street-creators-sue-puppet-film-happytime-murders_us_5b0860fae4b0802d69cb2944,“The Happytime Murders” refers to the classic show in its tagline.,2018-05-25,"Melissa McCarthy is present however, the producers of ""The happytime murders are not present in the image and neither does the image depict or present anything about infringement or being sued by the makers of Sesame Street",N,"T is for “trademark infringement.” The producers of this summer’s “The Happytime Murders,” a buddy-puppet-cop movie starring Melissa McCarthy, are being sued by the makers of “Sesame Street.”",https://img.huffingtonpost.com/asset/5aff34681e00002c008e5f4e.png?cache=ZWwtzkIzyM&ops=scalefit_720_noupscale,two people standing on a street with their faces painted on,8.530723E-07,0.009293048,0.990706,9.308777E-08,"('contradiction', ' 0.67%')","('neutral', ' 0.51%')","('neutral', ' 0.56%')","('contradiction', ' 0.72%')","('contradiction', ' 0.70%')","('contradiction', ' 0.55%')"
8,8,ENTERTAINMENT,George Takei Accuser Walks Back Story Of Drugging And Sexual Assault,Cole Delbyck,https://www.huffingtonpost.com/entry/george-takei-accuser-walks-back-story-of-drugging-and-sexual-assault_us_5b0816a9e4b0802d69caa3f8,"The ""Star Trek"" actor was accused of groping a model 36 years ago.",2018-05-25,Again the image only depicts George Takei but does not present the other things being talked about in the caption,N,A former model who accused George Takei (above) of sexual assault says the New York Observer mischaracterized comments he made recently about the incident.,https://img.huffingtonpost.com/asset/5b0825951a0000cd04cdfc59.jpeg?ops=scalefit_720_noupscale,an older man is smiling on a red,0.38364765,1.3918236E-06,0.61634773,3.1791722E-06,"('neutral', ' 0.67%')","('neutral', ' 0.90%')","('neutral', ' 0.93%')","('contradiction', ' 0.66%')","('contradiction', ' 0.69%')","('contradiction', ' 0.54%')"
9,9,ENTERTAINMENT,Pete Davidson Says His Mental Illness Doesn't Ruin Romance,Ron Dicker,https://www.huffingtonpost.com/entry/pete-davidson-mental-illness-dating_us_5b07daf1e4b0568a880a3e16,"The ""SNL"" star reacted to criticism that he shouldn't date Ariana Grande because of his borderline personality disorder.",2018-05-25,,N,"""Just because someone has a mental illness does not mean they can’t be happy and in a relationship,"" Pete Davidson says.",https://img.huffingtonpost.com/asset/5b07ff1e2000006505b928da.jpeg?ops=scalefit_720_noupscale,a man standing in front of a podium,0.72568744,0.006252542,0.26715294,0.00090713997,"('neutral', ' 0.57%')","('contradiction', ' 0.51%')","('contradiction', ' 0.36%')","('contradiction', ' 0.68%')","('contradiction', ' 0.59%')","('contradiction', ' 0.56%')"
