,article_title,article_link,image_link(s),image_caption(s),classification(s)
0,article_title,article_link,image_link(s),image_caption(s),classification(s)
1,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,"Amanda Painter is the sole survivor of a May 16 shooting by her ex-husband, Justin Painter.",https://img.huffingtonpost.com/asset/5b081b101e00007d038e699f.jpeg?cache=DAfEABijGE&ops=scalefit_1280_noupscale,
2,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,"Donna Bloom, director of legal services at Denton County Friends of the Family, visits Amanda at the transitional housing.",https://img.huffingtonpost.com/asset/5b081d6c1e0000bf048e69a4.jpeg?ops=scalefit_1280_noupscale,
3,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,,https://img.huffingtonpost.com/asset/5b081c9f1e00007d038e69a3.jpeg?ops=scalefit_1280_noupscale,
4,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,,https://img.huffingtonpost.com/asset/5b0844b51a00002700cdfcb3.jpeg?ops=scalefit_1280_noupscale,
5,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,"Melissa Jeltsen - Senior Reporter, HuffPost",https://img.huffingtonpost.com/asset/5c1128ec2400002b055871f8.png?ops=100_100,
6,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,,https://img.huffingtonpost.com/asset/62ba7064250000df1232ece3.jpg?cache=NbOButE1s3&ops=434_244%2Cquality_75,
7,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,,https://img.huffingtonpost.com/asset/62ba7064250000df1232ece3.jpg?cache=NbOButE1s3&ops=240_240,
8,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,,https://img.huffingtonpost.com/asset/62ba64ff220000a5394f7d63.jpeg?cache=trUDr69X3G&ops=434_244%2Cquality_75,
9,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,,https://img.huffingtonpost.com/asset/62ba64ff220000a5394f7d63.jpeg?cache=trUDr69X3G&ops=240_240,
10,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV | HuffPost Latest News",https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,,https://img.huffingtonpost.com/asset/62ba2ade2500000745474b49.jpeg?cache=JK7QJsVY6k&ops=434_244%2Cquality_75,
