,Unnamed: 0,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),headline,short descr,image caption
0,,,,,,,,,,0.008719208650290966,0.005829242989420891,0.9854515194892883
1,1.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,"Donna Bloom, director of legal services at Denton County Friends of the Family, visits Amanda at the transitional housing.",https://img.huffingtonpost.com/asset/5b081d6c1e0000bf048e69a4.jpeg?ops=scalefit_1280_noupscale,0.8688585758209229,0.13113625347614288,0.0
2,2.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/5b081c9f1e00007d038e69a3.jpeg?ops=scalefit_1280_noupscale,0.8735520839691162,0.12618698179721832,0.0
3,3.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/5b0844b51a00002700cdfcb3.jpeg?ops=scalefit_1280_noupscale,0.0004913719603791833,0.0021413136273622513,0.9973673224449158
4,4.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,"Melissa Jeltsen - Senior Reporter, HuffPost",https://img.huffingtonpost.com/asset/5c1128ec2400002b055871f8.png?ops=100_100,0.008977989666163921,0.9759458899497986,0.0
5,5.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb083f210000744f5ee967.jpeg?cache=fDTPw8dBXb&ops=434_244%2Cquality_75,0.006420453544706106,0.8872910141944885,0.0
6,6.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb083f210000744f5ee967.jpeg?cache=fDTPw8dBXb&ops=240_240,0.020834671333432198,0.17792247235774994,0.0
7,7.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62baebcf2200002f474f7dde.png?cache=pFHU8hsIDN&ops=434_244%2Cquality_75,0.007629991974681616,0.14950063824653625,0.0
8,8.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62baebcf2200002f474f7dde.png?cache=pFHU8hsIDN&ops=240_240,0.001945597119629383,0.99184250831604,0.0
9,9.0,CRIME,"There Were 2 Mass Shootings In Texas Last Week, But Only 1 On TV",Melissa Jeltsen,https://www.huffingtonpost.com/entry/texas-amanda-painter-mass-shooting_us_5b081ab4e4b0802d69caad89,She left her husband. He killed their children. Just another day in America.,2018-05-26,,https://img.huffingtonpost.com/asset/62b1f58a250000db1232e41f.png?ops=434_244%2Cquality_75,0.0005244131898507476,0.2317914515733719,0.7676841020584106
10,10.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,Andy McDonald,https://img.huffingtonpost.com/asset/55f1b6b3170000b900569da5.jpg?ops=100_100,1.1286542758170981e-05,0.08248007297515869,0.0
11,11.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/5b057da01a00002700cdf8cd.jpeg?ops=scalefit_960_noupscale,1.2886100194009487e-05,0.005695675499737263,0.9942914247512817
12,12.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,"Andy McDonald - Writer, HuffPost",https://img.huffingtonpost.com/asset/55f1b6b3170000b900569da5.jpg?ops=100_100,0.00797552801668644,0.4117569923400879,0.0
13,13.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb3d1d250000845032edbe.jpeg?ops=92_92,7.3827327469189186e-06,0.393643856048584,0.0
14,14.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bae6ed210000bf375ee937.jpeg?cache=XvO6LwHdKL&ops=92_92,1.1371482287358958e-05,0.03373231366276741,0.0
15,15.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bad7102500002549474bca.jpeg?cache=DmFZo6tnRV&ops=92_92,0.00031705829314887524,0.3145185112953186,0.0
16,16.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bb42f12500000a38474c6a.jpeg?cache=2rpzBgHXMJ&ops=92_92,0.001199522870592773,0.17458681762218475,0.0
17,17.0,ENTERTAINMENT,Will Smith Joins Diplo And Nicky Jam For The 2018 World Cup's Official Song,Andy McDonald,https://www.huffingtonpost.com/entry/will-smith-joins-diplo-and-nicky-jam-for-the-official-2018-world-cup-song_us_5b09726fe4b0fdb2aa541201,Of course it has a song.,2018-05-26,,https://img.huffingtonpost.com/asset/62bacdd82500000745474bc0.jpeg?ops=92_92,7.502268140058277e-09,0.38877347111701965,0.0
