,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),article
0,HEALTHY LIVING,Ebola Can Stay In Survivors' Semen Way Longer Than Expected,Nina Golgowski,https://www.huffingtonpost.com/entry/ebola-in-semen_us_57c6e9bae4b0a22de0934dbc,"“With this study, we now know that virus may persist for a year or longer.”",2016-08-31,A study of Ebola survivors in Liberia has revealed that the virus can stay in some men's semen for over a year. ,https://img.huffingtonpost.com/asset/57c7022a1800002b19bce5b3.jpeg?cache=am1WuKSlzB&ops=scalefit_720_noupscale,"A study of Ebola survivors in Liberia has revealed that some men can remain carriers of the deadly virus for more than a year and a half after their recovery ― not months, as previously believed.The surprising news was published in Lancet Global Health this week following a study of semen samples taken from 466 Ebola survivors enrolled in Liberia’s Men’s Health Screening Program.Of those samples, 38 of them tested positive for the virus at least 12 months after the provider recovered from the disease. Most of these men were older than 40 years old, according to the report.One patient’s sample returned positive for the virus 565 days after he recovered.“Before this outbreak, scientists believed that Ebola virus could be found in semen for three months after recovery,” stated Dr. Moses Soka of the Liberian Ministry of Health, who helped conduct the research. “With this study, we now know that virus may persist for a year or longer.”Though those who tested positive had “only a small amount” of the virus in their semen, researchers warned in their report that “even low levels of [the] virus can result in transmission.”Officials discovered sexual contact could possibly spread the virus back in March 2015, the Centers for Disease Control and Prevention, which works in collaboration with the MHSP and other health groups, stated in a release Tuesday.A woman in Monrovia, Liberia, died after becoming infected by the virus, despite Liberia being declared Ebola-free at the time. It was later determined that her only contact with the virus was through an Ebola survivor with whom she had unprotected sex. That man’s semen was tested and found positive for the virus, 199 days after he first became ill. The CDC noted that there’s no way to tell whether the virus in a positive sample is live and capable of spreading disease. Still, health officials recommend that men continue using protection during sex.After they provide two negative samples over two months, men “graduate” from Liberia’s MHSP’s program. In addition to discovering more about the virus, the MHSP has made significant milestones when it comes to educating Liberia’s public about safe sex, CDC officials say.Since the program’s inception, nearly 75 percent of participating Ebola survivors who initially said they didn’t use condoms during sex now say that they do.CDC Director Tom Frieden applauded the program’s all-around work.“This program provides important insights into how long Ebola remains in semen, a key component to preventing flare-ups of the disease and protecting survivors and their loved ones,” he stated in a release. “It also shows how investments in public health capacity can save lives.”There are still many questions that remain unanswered as studies are in their early phases, the Lancet Global Health report notes.One specific question researchers have is whether experimental antiviral drugs — ones that have been proven to fight Ebola — can accelerate the virus’ removal from the semen and other bodily fluids."
1,POLITICS,New Jersey Governor Chris Christie Vetoes Minimum Wage Hike To $15 An Hour,"By Hilary Russ, Reuters",https://www.huffingtonpost.com/entry/nj-minimum-wage-hike-veto_us_57c6791ee4b078581f102051,The legislation would have made New Jersey the third state to adopt a $15 per hour minimum wage.,2016-08-31,"New Jersey Governor Chris Christie (R) vetoed the minimum wage hike, saying the bill failed to consider the ability of businesses to absorb the increased labor costs.",https://img.huffingtonpost.com/asset/57c6795d160000890bbff94a.jpeg?cache=2kHrZbZFFN&ops=scalefit_720_noupscale,"(Reuters) - New Jersey Governor Chris Christie on Tuesday vetoed a bill to raise the state’s minimum wage to $15 per hour over the next five years.The legislation would have made New Jersey the third state to adopt a $15 per hour minimum wage, Christie said in a statement.State voters agreed to a previous wage hike in 2013, to $8.25 from $7.25. New Jersey’s rate is tied to the consumer price index and is now at $8.38, according to a database from the National Conference of State Legislatures (NCSL).“Despite having a constitutional mandate in place, the legislature now wants to increase the minimum wage by almost 80 percent just three years later,” Christie said in a statement about his veto.Christie, a close ally of Republican presidential nominee Donald Trump, said the wage bill passed by Democrats, who control both houses of state legislature, failed to consider the ability of businesses to absorb the increased labor costs.Neighboring New York State, as well as California, became the first states to lift the minimum wage toward $15 earlier this year.While California’s higher rate will be in effect statewide by 2022, New York created a two-speed system, with different timetables for New York City and nearby counties, versus the “upstate” regions where incomes are lower and labor markets less robust.Some cities are also stepping up to higher wage levels. Washington, D.C.’s minimum wage will reach $15 per hour by July 1, 2020, after it enacted a law this year. The city’s current level is $10.50.Washington and 29 states have set minimum wages above the federal rate of $7.25 an hour, according to the NCSL.Michele Siekerka, president of the New Jersey Business & Industry Association, praised Christie’s veto, saying the increase was “too much too fast.”“Had this bill been signed, it would not only have hurt the New Jersey economy, but it would have hurt the exact workers the proponents of this policy are trying to help,” she said in a statement.Assembly Speaker Vincent Prieto, lead sponsor of the bill, said in a statement the wage increase is a key component to Democrats’ strategy to combat poverty.“A substantial minimum wage increase will help lift countless families out of poverty, decrease government dependency and boost commerce by pumping more dollars back into the economy,” he said."
2,POLITICS,Baltimore's Water Rates Just Went Up. Poor Residents Will Pay The Price.,Joseph Erbentraut,https://www.huffingtonpost.com/entry/baltimore-water-rates_us_57c72a64e4b0e60d31dcda76,Activists and the city alike blame Congress' refusal to spend money on water infrastructure.,2016-08-31,Baltimore Mayor Stephanie Rawlings-Blake approved a plan Wednesday that will increase city residents' water bills by more than 30 percent over the next three years.,https://img.huffingtonpost.com/asset/57c72f3b1800002100bce69a.jpeg?ops=scalefit_720_noupscale,"The price of water in one of America’s poorest large cities is about to skyrocket.In a controversial move Wednesday, the Baltimore City Council approved a plan to hike the city’s water rate about 33 percent over the next three years, by an average of 9.9 percent each year, in addition to introducing two new fixed fees. The additional funds, according to the Baltimore City Department of Public Works, are necessary in order to fix the city’s crumbling infrastructure and update its billing system in a way it says will be more efficient and accurate. The plan goes into effect in October. These are expensive fixes the city claims it simply can’t pay for without raising rates. Slowing federal support for infrastructure projects, a factor Mayor Stephanie Rawlings-Blake referenced in a previous statement on the rate increase, isn’t helping matters. Federal spending on water and wastewater utility projects has stagnated since the 1980s while the cost to repair the nation’s aging water infrastructure has ballooned. The American Water Works Association, a water safety advocacy group, has estimated that price tag at $1 trillion between now and 2035.Residents and advocacy groups opposed to the rate hike largely agree that Washington deserves the blame for the matter, but also argue Baltimore’s new rate structure will disproportionately impact low-income and senior residents who are already struggling to pay their bill.One resident, Alexis Schofield, who spoke at Wednesday’s meeting said she “simply cannot afford” to pay an extra $50 per month for her water bill, according to the Baltimore Business Journal. The paper noted that some 20 residents testified against the rate hike.Many Baltimore residents appear to be in a similar position.In a report published Tuesday, the national advocacy group Food and Water Watch wrote that some of the city’s residents could actually see rate increases that exceed the widely reported 33 percent figure. According to the group’s analysis, seniors with low water use will see their bill double by 2018 under the current plan, for example.“Municipalities obviously need the money to do what they need to do to provide safe drinking water, but that drinking water doesn’t have to just be safe, it also has to be affordable,” Mitch Jones, a senior policy advocate at the organization, told The Huffington Post. “We have to make sure when we’re looking at rates that we have a structure in place that doesn’t put the burden on lower-income households.”To address the issue of making infrastructure improvements without squeezing those households, the group suggests implementing an income-based water affordability program like one already in the works in Philadelphia. In response to the criticism, Baltimore DPW spokesman Jeffrey Raymond pointed out that some of the city’s water users will actually see their water bill decrease as a result of the change, which will eliminate an existing minimum water charge.The city also moved Wednesday to approve slightly increased assistance for eligible low-income water users — from $179 in annual support to $197 — and to increase the flexibility of its payment plans, Raymond noted.Still, advocates like Jones say that’s not enough support to keep up with the level of need. Many Baltimore households — almost 24 percent of which are poor enough to receive food assistance — are already having a hard time keeping up with their water bills. And Baltimore isn’t the only city where residents are struggling, particularly as water rates have been on the rise nationally.According to the latest data from Circle of Blue, a water-focused news site, water prices in the nation’s 30 largest cities increased 5 percent last year and are up 48 percent since 2010. In the last year, water rate hikes have also been approved or implemented in cities including Phoenix, Los Angeles and Sacramento, California. Those high prices have correlated with high water shutoff rates in some of the nation’s poorest neighborhoods.In Detroit, the city shut off water service to 23,000 homes last year. That’s about 13 percent of the utility’s entire base of residential customers. And though Detroit has pledged to help struggling water users get on payment plans, the shutoffs have continued this year. The city has cut off water for about 150 homes per day since May._____Joseph Erbentraut covers promising innovations and challenges in the areas of food and water. In addition, Erbentraut explores the evolving ways Americans are identifying and defining themselves. Follow Erbentraut on Twitter at @robojojo. Tips? Email joseph.erbentraut@huffingtonpost.com."
3,POLITICS,Americans Increasingly Believe Labor Unions Benefit The Economy,Janie Velencia,https://www.huffingtonpost.com/entry/labor-unions-economy-poll_us_57c71fb0e4b0a22de093b26b,This is the most optimistic Americans have been about unions since 2006.,2016-08-31,"During the Great Recession, Americans believed labor unions mostly hurt the economy. Now a majority think unions help the economy.",https://img.huffingtonpost.com/asset/default-missing-image.jpg?cache=jIO2VoZgTY&ops=scalefit_720_noupscale,"Americans’ perceptions of labor unions and their impact on the economy have reached a five-year peak.According to a new Gallup poll, 52 percent of Americans now believe unions help the U.S. economy, while 41 percent believe they hurt the economy.This represents a 7-point rise since 2011 and it is the most positive Americans have been about the economic effects of unions since 2006, the year prior to the Great Recession. Between 2006 and 2009, Americans’ views on the economic benefits of labor unions dropped 14 points, reaching the lowest position in over a decade. This coincided with the failure of General Motors and Chrysler, two of the big three American auto companies, and the subsequent government bailout.Since then, the opinion of unions has been steadily improving and has nearly recovered to levels seen prior to the Great Recession.Perceptions have improved across party lines, though among Republicans they have improved the least.All in all, Americans are positive about other effects of labor unions. Seventy percent think unions help members of the union and 55 percent believe they help companies where workers are unionized. And overall approval of labor unions is at 56 percent, a 2-point drop from last year, when approval reached a six-year peak. According to the Economic Policy Institute, union membership among men in the private sector dropped from 34 percent in 1979 to just 10 percent in 2013. Among women, unionization has dropped from 16 to 6 percent in the same time period. A study released on Tuesday by the EPI points to declining union membership as one cause of wage stagnation among all Americans. But while union membership overall has been declining for decades, it has seen a growth in the digital media industry. Several big media companies, including The Huffington Post, have unionized in the last couple of years.Gallup surveyed 1,032 American adults via live calls to landlines and cell phones on August 3-7, 2016. "
4,POLITICS,Michele Bachmann: God 'Raised Up' Donald Trump,Ed Mazza,https://www.huffingtonpost.com/entry/michele-bachmann-donald-trump-god_us_57c63d13e4b078581f100ef0,"“Maybe I’m wrong, I don’t know.""",2016-08-31,Former Rep. Michele Bachmann (R-Minn.) says God 'raised up' Donald Trump to win the Republican presidential nomination.,https://img.huffingtonpost.com/asset/57c647101600002900bff8db.jpeg?cache=6m6yhz9GBZ&ops=crop_0_97_3185_1717%2Cscalefit_720_noupscale,"It’s a question political pundits will be attempting to answer for generations: How did real estate magnate and reality TV star Donald Trump win the Republican presidential nomination? Former Rep. Michele Bachmann (R-Minn.), a Trump advisor, claims to know the answer: God did it. Bachmann told “The Brody File” of CBN News that “the most high God lifts up who He will and takes down who He will.” She explained: I actually supported Ted Cruz. I thought he was fabulous but I also see that at the end of the day God raised up, I believe, Donald Trump who was going to be the nominee in this election. I don’t think God sits things out. He’s a sovereign God. Donald Trump became our nominee.Bachmann also said Trump was the only candidate who could win the general election. “Maybe I’m wrong, I don’t know,” she said. “But I do know that the Bible is true and that Daniel teaches the most high God, which is one of God’s names, is the one who lifts up who He will and takes down who He will.” Editor’s note: Donald Trump regularly incites political violence and is a serial liar, rampant xenophobe, racist, misogynist and birther who has repeatedly pledged to ban all Muslims — 1.6 billion members of an entire religion — from entering the U.S."
5,POLITICS,Supreme Court Denies North Carolina's Plea To Restore Swath Of Voting Restrictions,Cristian Farias,https://www.huffingtonpost.com/entry/supreme-court-north-carolina-voter-id-law_us_57c059fbe4b02673444fbe34,The state won't be able to enforce them come Election Day.,2016-08-31,"A supporter holds a sign as Republican presidential nominee Donald Trump speaks at a campaign event in Winston-Salem, North Carolina.",https://img.huffingtonpost.com/asset/57c05c5b1600003503bfea83.jpeg?ops=scalefit_720_noupscale,"The Supreme Court on Wednesday rejected a last-ditch request from North Carolina to reinstate a controversial set of voting restrictions that would have taken effect in the lead-up to the November election.In a one-sentence order that did not include any reasoning, the high court declined the state’s petition, which sought to put on hold a July ruling that found the voting law discriminated against African-Americans and compared it to a relic of the Jim Crow era.The state failed to convince at least five justices that three provisions of the contested law ― its voter ID requirement, cutbacks to early voting and elimination of pre-registration for certain under-18 voters ― were worth putting back on the books. The state had argued the measures were necessary to avoid “confusion” that might keep people away from the polls. But three justices ― Chief Justice John Roberts and Justices Anthony Kennedy and Samuel Alito ― did note that they would’ve granted the state’s request, at least with respect to voter ID and early voting. Justice Clarence Thomas, for his part, would’ve granted North Carolina’s petition in full.In essence, this means that the Supreme Court voted 4-to-4 in the dispute, with Justices Ruth Bader Ginsburg, Stephen Breyer, Sonia Sotomayor and Elena Kagan swinging against the state. A ninth conservative member in the mold of the late Justice Antonin Scalia might have given North Carolina a key victory.The president of the North Carolina NAACP, one of the several civil rights groups that challenged the voting law, praised the court’s order on Wednesday.“This critical rejection of the State’s position will allow the people of North Carolina to exercise the fundamental right to vote this November without expansive restrictions by racist politicians or racist policies,” said the Rev. Dr. William J. Barber II in a statement. The American Civil Liberties Union also applauded Wednesday’s development.In legal filings, the civil rights groups had countered that the state’s own prior efforts to comply with the July ruling plus “on-the-ground activity” by election officials ― including preparations at the county level ― flew in the face of the state’s insistence that there was not enough time to get things in order for Election Day.“Now, almost a month after the Fourth Circuit’s ruling, State and local elections officials have taken nearly all of the steps to comply with that ruling,” the voting rights groups said in a brief opposing North Carolina’s request. The Obama administration, which in 2013 suffered a big loss when the Supreme Court did away with a key section of the Voting Rights Act of 1965, filed its own brief urging the justices to deny the state’s plea, and to not read too much into arguments in favor of a law that was properly found to be discriminatory.The Supreme Court’s move is a significant setback for Gov. Pat McCrory (R), who had defended the law’s voter ID requirement as “common sense” and vowed to seek emergency relief from the high court soon after the U.S. Court of Appeals for the 4th Circuit struck it down.But McCrory didn’t follow through on his promise: It took the state 17 days to ask the Supreme Court to inspect the ruling ― a delay that may have played a role in the court’s action on Wednesday.In a statement, McCrory lamented there weren’t enough votes at the high court to side with the state, but commended the justices who did vote in its favor ― while also taking a jab at state Attorney General Roy Cooper (D), who has refused to defend the voter ID law in court and is also leading in the polls in the race for the North Carolina governorship.“North Carolina has been denied basic voting rights already granted to more than 30 other states to protect the integrity of one person, one vote through a common-sense voter ID law,” McCrory said.Allison Riggs, an attorney with the Southern Coalition for Social Justice, which is monitoring these rule changes, was otherwise heartened by the signal the Supreme Court sent.“Hundreds of thousands of North Carolinians will now be able to vote without barriers,” Riggs said in a statement. “The voting booth is the one place where everyone is equal and where we all have the same say.”This article has been updated with comment from McCrory and civil rights groups."
6,IMPACT,"Facebook Group Raises Over $100,000 To Give Refugees Cell Phone Credit",Sarah Ruiz-Grossman,https://www.huffingtonpost.com/entry/phone-credit-for-refugees-and-displaced-people-europe-facebook-group_us_57c5de80e4b0e60d31dbd711,Displaced people need food and shelter on their journeys ― but they also need to stay connected.,2016-08-31,"People use their mobile phones near a Wi-Fi hotspot at a makeshift camp for refugees and migrants near Idomeni, Greece, May 14, 2016.",https://img.huffingtonpost.com/asset/57c5e1ec1600002900bff77b.jpeg?ops=scalefit_720_noupscale,"As refugees make their journey to Europe, one group is helping them stay connected to their loved ones. The Facebook group ‘Phone Credit for Refugees and Displaced People’ is connecting refugees displaced in Europe with donors who can help pay for their cell phone data and minutes.In the six months since its February launch, the group has garnered more than 20,000 members and raised almost 100,000 British pounds ― or around $130,000, according to the Guardian.Refugees simply post in the Facebook group when they need credit added to their pay-as-you-go phones, according to the page. Donors can then add funds directly to their mobile accounts online, or donate to the group so the administrators can distribute funds.The goal of the Facebook group is to provide refugees with access to much-needed internet and calls so they can stay connected along their journeys.“I can only imagine when you are many miles from home in very uncertain circumstances that being able to keep in touch with friends and family is a big priority for most,” founder James Pearce posted in the Facebook group. “Hopefully together we will be able to help lots of people sustain this incredibly important communication lifeline a little bit more easily.”Pearce, a social service worker from the U.K, started the group after volunteering in the Calais Jungle, France’s makeshift camp, according to The Guardian. He was alarmed by the number of people who couldn’t reach loved ones, and was inspired to help.There are more than 4.8 million Syrian refugees who have been forced to flee their country, and for those who head to Europe, the journey can be arduous.For refugees on the move, having access to cell phones to use the internet and make calls is essential. Wifi can be just as important as food or water for many migrants, aid worker Isaac Kwamy told Reuters. “Very few of them (migrants) said, ‘We are hungry, we need food. Or we are thirsty, can we have water?” Kwamy said. “They were literally asking, ‘Do you have Wi-fi access and where can we charge our phones?’”Refugees use their phones to access key information on border closings, according to research from BBC Media Action. Migrants also use apps like Google Maps or Facebook to map their journeys, so they don’t have to rely on traffickers.The ‘Phone Credit for Refugees and Displaced People’ Facebook group allows refugees to get the cell phone credit they urgently need to stay connected.“My hope for the group is that we will be able to grow to the size necessary to meet the need that’s out there,” Pearce told the Guardian. “And in the process, that we can humanize and raise the profile of those caught up in the refugee crisis among ordinary people.”To donate to refugees’ cell phone minutes and help them stay connected and safe, join the Facebook page or donate via PayPal to phone.credit.1@gmail.com."
7,IMPACT,"Facebook Group Raises Over $100,000 To Give Refugees Cell Phone Credit",Sarah Ruiz-Grossman,https://www.huffingtonpost.com/entry/phone-credit-for-refugees-and-displaced-people-europe-facebook-group_us_57c5de80e4b0e60d31dbd711,Displaced people need food and shelter on their journeys ― but they also need to stay connected.,2016-08-31,"Migrants charge their mobile devices in a shelter for migrants inside a hangar of the former Tempelhof airport in Berlin, Germany, December 9, 2015.",https://img.huffingtonpost.com/asset/57c5e2041700000011c767d4.jpeg?ops=scalefit_720_noupscale,"As refugees make their journey to Europe, one group is helping them stay connected to their loved ones. The Facebook group ‘Phone Credit for Refugees and Displaced People’ is connecting refugees displaced in Europe with donors who can help pay for their cell phone data and minutes.In the six months since its February launch, the group has garnered more than 20,000 members and raised almost 100,000 British pounds ― or around $130,000, according to the Guardian.Refugees simply post in the Facebook group when they need credit added to their pay-as-you-go phones, according to the page. Donors can then add funds directly to their mobile accounts online, or donate to the group so the administrators can distribute funds.The goal of the Facebook group is to provide refugees with access to much-needed internet and calls so they can stay connected along their journeys.“I can only imagine when you are many miles from home in very uncertain circumstances that being able to keep in touch with friends and family is a big priority for most,” founder James Pearce posted in the Facebook group. “Hopefully together we will be able to help lots of people sustain this incredibly important communication lifeline a little bit more easily.”Pearce, a social service worker from the U.K, started the group after volunteering in the Calais Jungle, France’s makeshift camp, according to The Guardian. He was alarmed by the number of people who couldn’t reach loved ones, and was inspired to help.There are more than 4.8 million Syrian refugees who have been forced to flee their country, and for those who head to Europe, the journey can be arduous.For refugees on the move, having access to cell phones to use the internet and make calls is essential. Wifi can be just as important as food or water for many migrants, aid worker Isaac Kwamy told Reuters. “Very few of them (migrants) said, ‘We are hungry, we need food. Or we are thirsty, can we have water?” Kwamy said. “They were literally asking, ‘Do you have Wi-fi access and where can we charge our phones?’”Refugees use their phones to access key information on border closings, according to research from BBC Media Action. Migrants also use apps like Google Maps or Facebook to map their journeys, so they don’t have to rely on traffickers.The ‘Phone Credit for Refugees and Displaced People’ Facebook group allows refugees to get the cell phone credit they urgently need to stay connected.“My hope for the group is that we will be able to grow to the size necessary to meet the need that’s out there,” Pearce told the Guardian. “And in the process, that we can humanize and raise the profile of those caught up in the refugee crisis among ordinary people.”To donate to refugees’ cell phone minutes and help them stay connected and safe, join the Facebook page or donate via PayPal to phone.credit.1@gmail.com."
8,TRAVEL,First U.S.-Cuba Scheduled Flight In Decades Set To Depart,"By Jeffrey Dastin, Reuters",https://www.huffingtonpost.com/entry/us-cuba-relations-first-flight_us_57c6a5c6e4b0a22de093167a,"Among the passengers on the 150-seat Airbus A320 will be U.S. Transportation Secretary Anthony Foxx, JetBlue Chief Executive Officer Robin Hayes, news reporters and photographers.",2016-08-31,JetBlue Airways will make the first regularly scheduled commercial flight between the U.S. and Cuba in more than half a century on Wednesday.,https://img.huffingtonpost.com/asset/57c6aabb160000890bbff9eb.jpeg?cache=eNzSbngfG8&ops=scalefit_720_noupscale,"FORT LAUDERDALE, Fla. (Reuters) - The first regularly scheduled commercial flight between the United States and Cuba in more than half a century is set to depart on Wednesday, starting a new chapter in the Obama administration’s bid to open trade and travel with the former Cold War foe.The first of several U.S. carriers to begin serving Cuba in the coming months, JetBlue Airways Corp will fly from Fort Lauderdale, Florida, to Santa Clara, a city in the center of Cuba known for its monument to revolutionary Che Guevara.Among the passengers on the 150-seat Airbus A320 will be U.S. Transportation Secretary Anthony Foxx, JetBlue Chief Executive Officer Robin Hayes, news reporters and photographers and other officials. Regular travelers, including some of Cuban descent, will occupy nearly half the seats on a route that may be a commercial challenge, at least initially.Cuba and the United States began normalizing relations in December 2014 after 18 months of secret talks. The countries had been hostile for more than five decades, since Fidel Castro ousted U.S.-backed dictator Fulgencio Batista in a revolution that steered the island on a communist course and made it a close ally of the Soviet Union.Since Obama has been unable to persuade the U.S. Congress to lift a longstanding trade embargo, U.S. citizens are still prohibited from visiting Cuba as tourists. The U.S. government has approved exceptions to the ban, ranging from cultural, religious and educational travel to business and visiting family.Despite those limitations, U.S. airlines have rushed to start flights - adding a lot of capacity and setting themselves up to lose money on the trips in the short run, said industry consultant Robert Mann.“Most carriers look at international markets that have been restricted and are just opening up as an investment,” Mann said. “You need to get your foot in the door.”Services on regional carrier Silver Airways and American Airlines Group Inc from the Miami-Fort Lauderdale area to Cuba’s outlying provinces are the next to start, in September. Three other carriers will follow.Mann said the companies probably offered to fly to Cuban cities unknown to many American travelers, so that U.S. officials would look favorably on their applications to fly to Havana.A memorandum of understanding between Cuba and the United States will limit Havana flights to 20 round trips per day. U.S. officials have yet to announce a final decision on which companies will get those coveted routes."
9,THE WORLDPOST,France's Marine Le Pen Backs Trump And Denounces Clinton,,https://www.huffingtonpost.com/entry/le-pen-trump_us_57c74883e4b0e60d31dd076c,"The French far-right leader said ""it's everything but Hillary Clinton.""",2016-08-31,"Marine Le Pen, France's far-right National Front political party leader, speaks during a news conference at the FN party headquarters in Nanterre, France, June 24, 2016.",https://img.huffingtonpost.com/asset/57c7494d180000341bbce72a.jpeg?ops=scalefit_720_noupscale,"PARIS, Aug 31 (Reuters) - France’s far-right National Front party leader, Marine Le Pen, voiced support for U.S. Republican presidential candidate Donald Trump on Wednesday, saying his Democratic rival Hillary Clinton would bring war and hardship to the world.Le Pen is a candidate in France’s April 2017 presidential election. While her increasingly popular party thrives on anti-immigration sentiment, she has been more careful in her speeches than Trump has been, keen to make her party more mainstream.“As far as France’s best interest is concerned it’s, ‘Everything but Hillary Clinton’,” Le Pen told CNN in an interview when asked which U.S. candidate she would back.“It’s everything but Hillary Clinton because I believe Hillary Clinton means war, Hillary Clinton means devastation, destabilizing the world, economic choices that would be devastating for my people, geostrategic choices that would lead to global conflicts.”Opinion polls see Le Pen making it to an early May run-off in France’s presidential election but losing that second round to a mainstream candidate as a majority of voters do not want her as president, despite her growing popularity.She shares with Trump a strategy that banks on presenting herself as “anti-system.”“What we have in common is that we’re not insiders, we are not taking part in the ‘system’, we depend on no one and do not take our orders from any financial institutions,” she told CNN in the interview taped and released on Wednesday.Trump has been rebuked by opponents for his proposal to temporarily ban Muslims from entering the United States. He has faced criticism even from within his own party for comments seen as insulting women, Muslims and Mexican immigrants."
