,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),article
0,POLITICS,FBI Employees Wear 'Comey Is My Homey' Shirts To Family Day,Dana Liebelson and Jessica Schulberg,https://www.huffingtonpost.com/entry/fbi-comey-my-homey-shirts-family-day_us_5956f33de4b05c37bb7e8532,The show of support appears to challenge Trump's claim of an unpopular former director.,2017-07-01,"Former FBI Director James Comey was called an ineffective and unpopular leader of the bureau by President Donald Trump, who fired him.",https://img.huffingtonpost.com/asset/5956f6f918000035006725ad.jpeg?ops=scalefit_720_noupscale,"WASHINGTON ― Some FBI employees and their guests wore “Comey is my homey” T-shirts to the bureau’s Family Day in Washington on Friday in what appeared to be an unofficial show of support for former FBI Director James Comey, who was fired in May by President Donald Trump. At least a dozen people wore matching #ComeyIsMyHomey shirts, according to social media postings. Family Day is an annual event for employees and their families to visit the FBI as well as showcase divisions within the agency, an FBI spokesperson told HuffPost. People in the photos could not be reached or declined to comment.When Comey was fired, he was overseeing the FBI’s investigation into whether Trump’s campaign associates colluded with Russian attempts to interfere in last year’s presidential election. The White House initially said Trump fired Comey at the recommendation of Deputy Attorney General Rod Rosenstein, who drafted a memo outlining criticisms of Comey’s handling of the probe into former Secretary of State Hillary Clinton’s use of a private email server. But Trump later told NBC he planned to fire Comey regardless of Rosenstein’s recommendation because he was fed up with the Russia investigation. Comey has since emerged as an unlikely star among opponents of the Trump administration. Once accused of tilting the election in Trump’s favor with his pronouncements on the Clinton email saga, Comey now appears well-poised to reveal damaging information about the president. Shortly after he was fired, Comey leaked memos he wrote while still head of the FBI describing Trump’s bizarre demand for loyalty and a request that the bureau drop its investigation into former national security adviser Michael Flynn. Comey later confirmed both of those incidents in a public congressional hearing. Nearly 20 million people watched that hearing, with some skipping work to tune in from bars. Trump at one point raised the possibility on Twitter that he had recordings of his conversations with Comey — a statement that turned out to be baseless and looks to have been intended to undermine Comey’s credibility. One Family Day attendee wore a button that riffed off Comey’s Senate testimony: “Lordy, I hope there are tapes.” Within the FBI, Comey’s ouster feels particularly personal. Despite the White House’s claim that he had lost confidence of “rank and file” FBI employees, Comey still enjoyed broad support within the bureau, Acting Director Andrew McCabe testified at a Senate hearing in May. And even some of Comey’s detractors saw Trump’s move to fire him as an inappropriate effort to shut down the investigation. The back of some shirts included a quote that was attributed to Comey, though we could not confirm he said the specific words: “We choose to do good for a living.” "
1,POLITICS,"Voter Fraud Panelist Asks Court To Drop Sanctions Against Him, Blames Sloppy Editing",Sam Levine,https://www.huffingtonpost.com/entry/kris-kobach-sanctions_us_5957b65be4b05c37bb7eaa19,Kris Kobach faces a fine and ACLU questioning over a brief he filed arguing why he shouldn't have to turn over documents from a Trump meeting.,2017-07-01,"The ACLU sought documents Kris Kobach, now head of Donald Trump's voter fraud panel, was photographed holding while meeting with Trump at his Bedminster golf resort in New Jersey on Nov. 20.",https://img.huffingtonpost.com/asset/5957b98d1800003800672631.jpeg?ops=scalefit_720_noupscale,"Kansas Secretary of State Kris Kobach asked a federal court this week to reconsider sanctions imposed against him after the judge ruled he made “patently misleading representations” to the court about the contents of voting rights documents he was photographed holding while meeting with Donald Trump in November.In June, U.S. Magistrate Judge James O’Hara fined Kobach $1,000 and ruled that lawyers for the American Civil Liberties Union could question him in an ongoing lawsuit over a Kansas voter registration law passed in 2011. The sanctions came as Kobach, a Republican, has been thrust into the national spotlight as the vice chairman of Trump’s presidential commission on election integrity. He is also running for governor of Kansas.Kobach was photographed Nov. 20 holding documents containing a potential amendment to the 1993 National Voter Registration Act when he met with Trump. The ACLU sought those documents as part of its lawsuit against Kobach over a 2011 Kansas law that requires proof of citizenship when residents register to vote. The ACLU argued that if Kobach was proposing an amendment to the NVRA, he was conceding that he didn’t have the authority under federal law to implement the citizenship requirement in Kansas. Kobach filed a motion to reconsider the “manifestly unjust” sanctions Thursday, saying he didn’t intentionally mislead the court. Instead, he said, he eliminated four pages of arguments from a brief his attorney was drafting in order to get it down to the page limit as a filing deadline approached. In the Thursday motion, Kobach says that last-minute cut eliminated crucial context in the 30-page brief for his argument for why the NVRA amendment documents were irrelevant to the lawsuit and that his attorney lacked time to review the edits because Kobach sent them to him at 10:30 p.m. on the day the brief was due. “It is Defendant’s hope that this Court would recognize that the lack of clarity was a mistake compounded by last minute editing, made in good faith, and would reconsider its ruling stating otherwise,” Kobach and Garrett Roe, his attorney, say in the filing. “Defendant apologizes to the Court for this misunderstanding and will do a better job of ensuring that future arguments are presented more clearly.”Kobach refused to produce the documents as part of discovery in the case, claiming they were irrelevant and protected by attorney-client and executive privilege. The ACLU filed a motion to compel him to produce the documents, which the court eventually granted.Kobach argued against producing them by saying they did not deal with “eligibility-assessment procedures” required by the NVRA, but O’Hara wrote that, after reviewing the photographed documents, they clearly did deal with those procedures. While the court forced Kobach to produce the documents, it has allowed him to shield them from being released to the public.In the Thursday filing, Kobach and Roe also asked the court to reconsider subjecting him to a deposition. Because Kobach is also serving as his own principal defense attorney, they said being deposed by the plaintiffs would present an ethical conflict of interest that could force him to recuse himself as an attorney later at trial. Blocking Kobach from being able to argue his own defense at trial, they argued, “would significantly impair the defense.”Responding to Kobach’s filing, lawyers for the ACLU dismissed Kobach’s argument, saying that he failed to show what the actual ethical conflict was and that the Kansas rule Kobach cited only applied to attorneys in jury trials.ACLU lawyers also urged the court not to reconsider the sanctions based on Kobach’s pleas about last-minute editing because he hadn’t made such a claim in other briefs responding to the motion to compel him to produce the documents from the Trump meeting. The lawyers said the claim was Kobach’s “latest excuse,” and “if a misunderstanding had simply arisen from editing errors, that fact would have been well known to Defendant and his co-counsel months ago.”Dale Ho, director of the ACLU’s voting rights project and a lawyer in the case, summarized Kobach’s editing excuse in an email response to HuffPost.“Dog ate his homework.”Read Kobach’s filing urging reconsideration of sanctions below:"
2,POLITICS,You Can Now Buy Legal Marijuana In Nevada,Matt Ferner and Nick Wing,https://www.huffingtonpost.com/entry/legal-marijuana-nevada_us_59554036e4b05c37bb7cedb3,"The state is the fifth in the nation to reject prohibition in favor of legalizing, regulating and taxing marijuana for adult use.",2017-07-01,Customers line up in Las Vegas Friday evening as they wait for recreational marijuana sales to begin.,https://img.huffingtonpost.com/asset/59580dc32100003400fc5075.jpeg?ops=scalefit_720_noupscale,"Adults who are at least 21 years old can now legally purchase recreational marijuana from select retail shops in Nevada. Sales began just after midnight on Saturday. There are a total of 44 licensed dispensaries around the state open for business so far, according to the Nevada Department of Taxation, which oversees the industry. Thirty-three shops in Las Vegas and four shops in Reno are among those that have licenses.Customers can legally be in possession of up to an ounce of marijuana or one-eighth of an ounce of cannabis-infused edibles or extracts.Nevada joins Colorado, Washington, Oregon and Alaska in rejecting marijuana prohibition and legalizing the sale of weed for recreational purposes. A total of eight states ― along with the District of Columbia, which does not allow sales ― have already enacted laws to legalize, regulate and tax recreational marijuana. Licensed dispensaries are expected to open for business next year in California, Maine and Massachusetts.More than 54 percent of voters supported Nevada’s legalization measure last year, which required the state to begin selling recreational marijuana by Jan. 1, 2018. But the state’s tax commission adopted temporary regulations to begin sales early, making Nevada the fastest state to move on implementing its recreational marijuana program, according to The Associated Press.“The marijuana prohibition era is finally coming to an end in Nevada,” said Mason Tvert, director of communications for the Marijuana Policy Project, the drug policy reform group that backed the state’s measure to legalize. “Adults will now be able to purchase marijuana similarly to how they purchase alcohol, from regulated businesses rather than criminals in the illegal market.” Although pot sales are legal, there are still restrictions on public use. People won’t be allowed to toke up on the street or in the state’s hotels and casinos, where smoking cigarettes is still commonplace. Violations can lead to a $600 ticket. But there’s also still some confusion over how strictly police will enforce these laws ― many people already openly drink alcohol on the Las Vegas Strip, despite restrictions on such consumption.In a statement issued Friday evening, just hours before retail sales began, Deonne Contine, executive director of the Department of Taxation detailed the specifics of the new law and also offered a reminder about moderation, especially when it comes to edibles.“If Nevada is anything like Colorado, we’re likely to see people who have only smoked marijuana in the past try different products, like edibles,” Contine said.The department warned that edibles can be much stronger than smoking and can take two hours or more before the effects fully set in.“Because of this, officials caution consumers to start with one serving that has no more than 10 milligrams of THC and wait at least two hours before having more. Check the labels on products before you buy so you know how much THC is in each product and serving size,” the statement read.(If you do find yourself feeling too high on marijuana edibles, here are some things to remember to help get you through.) Some parts of the state law are still being ironed out. Although existing medical marijuana retailers who have received state recreational licenses can begin selling their existing product on Saturday, restocking on weed may become an issue in the weeks ahead due to an ongoing legal battle over who will get state marijuana distribution licenses. As of last week, liquor distributors ― the only entity approved to distribute marijuana during first 18 months of sales under state law ― had not been issued transportation licenses yet.Nevada’s push on recreational marijuana puts it in some uncertain territory. Despite the continued efforts to decriminalize the use, cultivation and sale of marijuana at the state level, the plant remains illegal under federal law.Former President Barack Obama’s Justice Department allowed states to forge their own marijuana policies, issuing guidance that urged federal prosecutors to refrain from targeting state-legal marijuana operations. But that guidance is not law and President Donald Trump’s administration has already raised alarm among those who favor reforming drug laws. As a candidate, Trump said he was in favor of respecting states’ rights on legalization. But Attorney General Jeff Sessions, an anti-marijuana hard-liner who has issued some ominous warnings about states that have legalized marijuana, has suggested that a federal crackdown could be on the way. Although Sessions has said Obama-era marijuana guidance is “not too far from good policy,” officials in legal weed states expect the attorney general to make some changes to it.Kevin Sabet, president of anti-legalization group Smart Approaches to Marijuana, said in a press statement that Nevada was rushing to duplicate what his group called the “failed pot experiments” of other states that have abandoned prohibitionist marijuana policies.Nevada has the potential to become a massive legal marijuana market ―perhaps the largest in the nation ― once legal recreational sales begin there in January, largely thanks to the state’s thriving tourism industry. In Colorado, which has a population of about 5 million and sees more than 70 million tourists annually, marijuana business made $1 billion in sales in 2016. “Nevada is a major national and international tourist destination, which means it could become one of the largest adult-use marijuana markets in the nation,” Tvert told HuffPost. “It will really hinge on whether the state and localities adopt reasonable laws and regulations for allowing social consumption in certain venues. Tourists who can legally purchase marijuana need to have places where they can legally consume it.”Marijuana is the most commonly used illicit substance in the United States. National support for legalization has risen dramatically in recent years, reaching historic highs in multiple polls. Medical marijuana enjoys even more overwhelming support, with a recent Quinnipiac poll finding that 94 percent of Americans approve of allowing adults to use the drug for medical purposes if their doctor prescribes it.A strong majority of Americans also say individual states should be able to enact their own laws on marijuana, without interference from the federal government. A that Survey USA released last week found that 76 percent of American adults want Trump to respect state marijuana laws. Majorities of Republicans, Democrats, independents and respondents of every age group agreed that federal authorities should not interfere with states that have ended prohibition. "
3,ENTERTAINMENT,Hayley Williams And Rocker Husband Chad Gilbert Split After Nearly 10 Years Together,Cole Delbyck,https://www.huffingtonpost.com/entry/hayley-williams-and-rocker-husband-chad-gilbert-split-after-10-years-together_us_5957e950e4b0da2c7323edf8,"""Marriage is not for the faint of heart.""",2017-07-01,Hayley Williams and guitarist Chad Gilbert together in 2014. ,https://img.huffingtonpost.com/asset/5957e9dc1800003500672657.jpeg?cache=kSTtqdrZ7J&ops=scalefit_720_noupscale,"We won’t go for the obvious “Misery Business” pun here, but this news is making us feel all kinds of angsty. Paramore’s Hayley Williams and New Found Glory guitarist Chad Gilbert are splitting up after nearly ten years together. After getting married last year, the two rockers have announced they’ve decided to go their separate ways in a heartbreakingly honest joint statement. “We want to publicly state – plainly, and only this time – that we are splitting up. We also feel it, important to state that we are going to be okay and in fact, we remain close friends who are good in each other’s eyes,” the statement read. “That’s something we are deeply thankful for. Even though situations like these can feel defeating. We will continue to encourage and support each other personally and professionally.”The former couple tied the knot in a laid-back ceremony in Nashville, Tennessee, in February 2016. Williams paired her fiery red hair with a short-sleeved lace wedding dress.“The two of us have been together for the better part of 10 years. We’ve grown up together and we’ve been beside each other through a lot of goodness and a lot of challenges,” they continued. “There is a challenge to trying to understand your own heart in the context of a relationship… and there is goodness in considering another heart, even in spite of your own. Marriage is not for the faint of heart. Love is an absolute risk. And it’s up to each of us to stay hopeful even when the outcome isn’t what we’d originally hoped for.” The couple went on to thank the fans of both bands, who’ve supported the duo for years, as well as their families for standing by them during this difficult time. The announcement comes amid a bit of resurgence for Williams’ career. Paramore reunited and released their first album in four years, titled “After Laughter,” following Williams’ break from the band.The song “Forgiveness” off the album is apparently inspired by some “rocky moments” in the couple’s marriage. Read the full statement below. CORRECTION: A previous version of this story misstated the title of Paramore’s most recent album. It is “After Laughter.”"
4,WORLD NEWS,Merkel Vows To Fight Trump Over Action On Climate Change,Eline Gordts,https://www.huffingtonpost.com/entry/merkel-vows-fight-trump-over-action-on-climate-change_us_59558530e4b0da2c732253e9,"“Whoever believes the problems of this world can be solved by isolationism and protectionism is making a tremendous error.""",2017-06-30,German Chancellor Angela Merkel addresses the lower house of parliament. ,https://img.huffingtonpost.com/asset/5955934f180000350067230b.jpeg?cache=TN2tFzpvNV&ops=scalefit_720_noupscale,"German Chancellor Angela Merkel set a defiant tone on Thursday when she promised lawmakers in an address to parliament that she’d wage a tough fight over the future of the climate change battle during an upcoming Group of 20 meeting. Echoing the sentiment expressed by other European leaders following President Donald Trump’s decision to pull the United States out of the historic Paris climate deal, Merkel emphasized on Thursday that she was “more determined than ever” to implement the climate agreement. “There is still a lot to be done” to overcome the “existential challenge,” the chancellor added.“Whoever believes the problems of this world can be solved by isolationism and protectionism is making a tremendous error,” Merkel added. The meeting of the Group of 20 in the German city of Hamburg next week is shaping up to be a contentious one. Several topics on the agenda are themes and policies on which the United States and major European countries increasingly disagree: global warming, trade and international cooperation.Signs of the growing discord were already on display during a G7 meeting in Italy at the end of May. Following Trump’s refusal to endorse the climate agreement at the summit ― he would announce the U.S.’s withdrawal just days later ― Merkel told supporters that “we Europeans truly have to take our fate into our own hands ... The times in which we could completely depend on others are on the way out.”Merkel on Thursday predicted equally difficult conversations next week. “Since the Unites States has announced its intention to leave the Paris agreement, we can’t expect easy talks in Hamburg,” Merkel said. European leaders are united in their desire to move forward with the implementation of the Paris agreement. In response to the Trump administration’s move to exit the deal, Merkel, French President Emmanuel Macron and Italian Prime Minister Paolo Gentiloni came out firmly in support of the agreement. “We deem the momentum generated in Paris in December 2015 irreversible and we firmly believe that the Paris Agreement cannot be renegotiated since it is a vital instrument for our planet, societies and economies,” the leaders said at the time. H.R. McMaster, the U.S. national security adviser, on Thursday acknowledged the differences between his administration and the German leadership but tried to downplay the divide. “Of course there are going to be differences in relations with any country, and we’ll talk frankly about those differences. The president enjoys those conversations,” McMaster told reporters.Following her address to parliament on Thursday, Merkel met with EU leaders in Berlin for a preparatory meeting ahead of the start of next week’s summit. “On climate, we reaffirm clearly our very strong engagement for the Paris accord and our willingness to go forward,” Macron said in the German capital. “And for me personally, I hope that the others can be brought back to their senses.”"
5,WORLD NEWS,Merkel Vows To Fight Trump Over Action On Climate Change,Eline Gordts,https://www.huffingtonpost.com/entry/merkel-vows-fight-trump-over-action-on-climate-change_us_59558530e4b0da2c732253e9,"“Whoever believes the problems of this world can be solved by isolationism and protectionism is making a tremendous error.""",2017-06-30,World leaders pose for a family photo of G7 leaders.,https://img.huffingtonpost.com/asset/59559da51500006303bfb849.jpeg?ops=scalefit_720_noupscale,"German Chancellor Angela Merkel set a defiant tone on Thursday when she promised lawmakers in an address to parliament that she’d wage a tough fight over the future of the climate change battle during an upcoming Group of 20 meeting. Echoing the sentiment expressed by other European leaders following President Donald Trump’s decision to pull the United States out of the historic Paris climate deal, Merkel emphasized on Thursday that she was “more determined than ever” to implement the climate agreement. “There is still a lot to be done” to overcome the “existential challenge,” the chancellor added.“Whoever believes the problems of this world can be solved by isolationism and protectionism is making a tremendous error,” Merkel added. The meeting of the Group of 20 in the German city of Hamburg next week is shaping up to be a contentious one. Several topics on the agenda are themes and policies on which the United States and major European countries increasingly disagree: global warming, trade and international cooperation.Signs of the growing discord were already on display during a G7 meeting in Italy at the end of May. Following Trump’s refusal to endorse the climate agreement at the summit ― he would announce the U.S.’s withdrawal just days later ― Merkel told supporters that “we Europeans truly have to take our fate into our own hands ... The times in which we could completely depend on others are on the way out.”Merkel on Thursday predicted equally difficult conversations next week. “Since the Unites States has announced its intention to leave the Paris agreement, we can’t expect easy talks in Hamburg,” Merkel said. European leaders are united in their desire to move forward with the implementation of the Paris agreement. In response to the Trump administration’s move to exit the deal, Merkel, French President Emmanuel Macron and Italian Prime Minister Paolo Gentiloni came out firmly in support of the agreement. “We deem the momentum generated in Paris in December 2015 irreversible and we firmly believe that the Paris Agreement cannot be renegotiated since it is a vital instrument for our planet, societies and economies,” the leaders said at the time. H.R. McMaster, the U.S. national security adviser, on Thursday acknowledged the differences between his administration and the German leadership but tried to downplay the divide. “Of course there are going to be differences in relations with any country, and we’ll talk frankly about those differences. The president enjoys those conversations,” McMaster told reporters.Following her address to parliament on Thursday, Merkel met with EU leaders in Berlin for a preparatory meeting ahead of the start of next week’s summit. “On climate, we reaffirm clearly our very strong engagement for the Paris accord and our willingness to go forward,” Macron said in the German capital. “And for me personally, I hope that the others can be brought back to their senses.”"
6,WORLD NEWS,Female Police Squads Tackle Street Harassment In India,"Cristina Maza, Women & Girls",https://www.huffingtonpost.com/entry/female-police-squads-tackle-street-harassment-in-india_us_59569b4be4b0da2c732357d2,"To combat sexual harassment in public spaces, the city of Jaipur, Rajasthan, is sending out all-female police squads. They’re",2017-06-30,"Jaipur’s all-women police unit makes its maiden run on May 1, 2017.",https://img.huffingtonpost.com/asset/59569bb818000038006724ef.jpeg?cache=uVD27DgfvW&ops=scalefit_720_noupscale,"To combat sexual harassment in public spaces, the city of Jaipur, Rajasthan, is sending out all-female police squads. They’re taking a very different approach to the “anti-Romeo” squads in neighboring Uttar Pradesh, which gained a reputation for harassing couples.JAIPUR, INDIA — Lada Kumari, 28, was riding around the city of Jaipur, Rajasthan, on her motorbike when she saw a fight break out near the city’s Central Park. A girl in her late teens had gotten caught in the middle of a dispute between several young men after one of them tried to stop the others from harassing her. She looked frightened.“I stopped my bike and broke up the fight,” Kumari says. “The girl went home and the boys stopped fighting.”Kumari is one of 52 Jaipur policewomen who make up the city’s first all-female squad, launched in early May. The women are trained in martial arts and patrol the city of 3 million inhabitants in pairs. Their aim is to stop the harassment of women, known colloquially as “Eve-teasing.”“The group [promotes] women’s safety,” explains Rajendra Singh, the superintendent of Jaipur’s main police commissariat. “They will patrol the most sensitive areas, like schools, parks, and malls.”Jaipur isn’t the first place in India to form a dedicated police squad to stop the harassment of women. This year, the state of Uttar Pradesh launched patrol groups made up of both male and female officers known as the “anti-Romeo” squads. But the squads were heavily criticized for allowing conservative social values to influence their work and intimidating young, unmarried couples.In Jaipur, however, the authorities say their all-female squad will leave couples alone and focus on legitimate cases of harassment.“The point is that a lot of girls don’t want to talk to male police officers when they have a problem,” says Pinku Rathore, a policewoman at the commissariat. “But women understand the problem – we know what Eve-teasing is.”According to a recent survey by ActionAid UK, nearly four in five Indian women report having experienced harassment in public. Young women tell tales of being surrounded on their way to school or work by young men who grope or yell lewd comments at them. Some young men view this activity as innocent play. But increasingly, local officials are looking for ways to stop it.So far, Jaipur residents seem happy with the police’s efforts to protect women.“Men are often sitting in a circle or in a group on the street and teasing girls. We see this so many times. So if the police are making those men move, then that [signals] they are doing something wrong,” says Diya Naruka, a 17-year-old women’s rights advocate from Jaipur.Kanoria College, an all-women’s school located across the highway from the University of Rajasthan, is one of the places where the new squad has started patrolling.Antima Joshi, a 22-year-old art student, says she’s happy female officers are now protecting the area.“I think it’s a good idea for more women police to be deployed, because they understand the problem more than men do,” Joshi says.But Ranju Mehda, the college’s vice-principal, says patrolling isn’t enough to stop harassment.“If there is more patrolling, then men who harass women will be more scared because they know they can be caught. But that’s not a long-term solution, it’s just a first step,” Mehda says. “What we need to do is change the attitude of men.”Mehda says change will begin with the way young men are raised to treat women. And in the meantime, experts say both male and female police officers should be trained to be more sensitive to gender issues.“It doesn’t matter if you’re a man or a woman, it’s patriarchy that is there in the way you have been socialized,” says Nandita Bhatt, an expert on gender violence with India’s Participatory Research in Asia program. “So we need to have these conversations with male and female officers.”Jaipur has around 60 police stations, four of which are specifically dedicated to women’s issues. The women’s police stations are in charge of everything from disputes over dowries to sexual harassment. But while all police stations have a desk where women can bring their complaints, there aren’t always enough female officers to staff them, Singh admits.Kamal Shekhawat, head of the control and command center in Jaipur’s commissariat, says many Indian women lack the means to join the police force.“We have opened our gates and provided opportunities for women to work with us, but often they don’t have the resources [to study], and those welfare issues should be taken up by the government,” she says.Nevertheless, Shekhawat says Jaipur’s commissariat plans to create more female squads in the near future.“Soon, we would like to deploy 26 more teams of two officers each,” she says. “We have scooters to give them, and we’ll send them to the most sensitive areas in the city.” This article originally appeared on Women & Girls Hub. For weekly updates, you can sign up to the Women & Girls Hub email list."
7,WORLD NEWS,Female Police Squads Tackle Street Harassment In India,"Cristina Maza, Women & Girls",https://www.huffingtonpost.com/entry/female-police-squads-tackle-street-harassment-in-india_us_59569b4be4b0da2c732357d2,"To combat sexual harassment in public spaces, the city of Jaipur, Rajasthan, is sending out all-female police squads. They’re",2017-06-30,Policewoman Lada Kumari is part of the all-female unit that patrols the streets of Jaipur to combat sexual harassment.,https://img.huffingtonpost.com/asset/59569c2118000038006724f1.jpeg?ops=scalefit_720_noupscale,"To combat sexual harassment in public spaces, the city of Jaipur, Rajasthan, is sending out all-female police squads. They’re taking a very different approach to the “anti-Romeo” squads in neighboring Uttar Pradesh, which gained a reputation for harassing couples.JAIPUR, INDIA — Lada Kumari, 28, was riding around the city of Jaipur, Rajasthan, on her motorbike when she saw a fight break out near the city’s Central Park. A girl in her late teens had gotten caught in the middle of a dispute between several young men after one of them tried to stop the others from harassing her. She looked frightened.“I stopped my bike and broke up the fight,” Kumari says. “The girl went home and the boys stopped fighting.”Kumari is one of 52 Jaipur policewomen who make up the city’s first all-female squad, launched in early May. The women are trained in martial arts and patrol the city of 3 million inhabitants in pairs. Their aim is to stop the harassment of women, known colloquially as “Eve-teasing.”“The group [promotes] women’s safety,” explains Rajendra Singh, the superintendent of Jaipur’s main police commissariat. “They will patrol the most sensitive areas, like schools, parks, and malls.”Jaipur isn’t the first place in India to form a dedicated police squad to stop the harassment of women. This year, the state of Uttar Pradesh launched patrol groups made up of both male and female officers known as the “anti-Romeo” squads. But the squads were heavily criticized for allowing conservative social values to influence their work and intimidating young, unmarried couples.In Jaipur, however, the authorities say their all-female squad will leave couples alone and focus on legitimate cases of harassment.“The point is that a lot of girls don’t want to talk to male police officers when they have a problem,” says Pinku Rathore, a policewoman at the commissariat. “But women understand the problem – we know what Eve-teasing is.”According to a recent survey by ActionAid UK, nearly four in five Indian women report having experienced harassment in public. Young women tell tales of being surrounded on their way to school or work by young men who grope or yell lewd comments at them. Some young men view this activity as innocent play. But increasingly, local officials are looking for ways to stop it.So far, Jaipur residents seem happy with the police’s efforts to protect women.“Men are often sitting in a circle or in a group on the street and teasing girls. We see this so many times. So if the police are making those men move, then that [signals] they are doing something wrong,” says Diya Naruka, a 17-year-old women’s rights advocate from Jaipur.Kanoria College, an all-women’s school located across the highway from the University of Rajasthan, is one of the places where the new squad has started patrolling.Antima Joshi, a 22-year-old art student, says she’s happy female officers are now protecting the area.“I think it’s a good idea for more women police to be deployed, because they understand the problem more than men do,” Joshi says.But Ranju Mehda, the college’s vice-principal, says patrolling isn’t enough to stop harassment.“If there is more patrolling, then men who harass women will be more scared because they know they can be caught. But that’s not a long-term solution, it’s just a first step,” Mehda says. “What we need to do is change the attitude of men.”Mehda says change will begin with the way young men are raised to treat women. And in the meantime, experts say both male and female police officers should be trained to be more sensitive to gender issues.“It doesn’t matter if you’re a man or a woman, it’s patriarchy that is there in the way you have been socialized,” says Nandita Bhatt, an expert on gender violence with India’s Participatory Research in Asia program. “So we need to have these conversations with male and female officers.”Jaipur has around 60 police stations, four of which are specifically dedicated to women’s issues. The women’s police stations are in charge of everything from disputes over dowries to sexual harassment. But while all police stations have a desk where women can bring their complaints, there aren’t always enough female officers to staff them, Singh admits.Kamal Shekhawat, head of the control and command center in Jaipur’s commissariat, says many Indian women lack the means to join the police force.“We have opened our gates and provided opportunities for women to work with us, but often they don’t have the resources [to study], and those welfare issues should be taken up by the government,” she says.Nevertheless, Shekhawat says Jaipur’s commissariat plans to create more female squads in the near future.“Soon, we would like to deploy 26 more teams of two officers each,” she says. “We have scooters to give them, and we’ll send them to the most sensitive areas in the city.” This article originally appeared on Women & Girls Hub. For weekly updates, you can sign up to the Women & Girls Hub email list."
8,BLACK VOICES,New Report Reveals Shocking Details In Baton Rouge Officer Shootings,David Lohr,https://www.huffingtonpost.com/entry/baton-rouge-officer-shootings-report-gavin-long_us_5956b62ee4b05c37bb7e6234,"Gavin Long set out to inflict ""destruction ... upon bad cops as well as good cops,"" according to a note found in his car.",2017-06-30,A screenshot of Long in a video uploaded to YouTube. ,https://img.huffingtonpost.com/asset/5956cbcb1500006303bfbae7.png?cache=JvOsUeZQFv&ops=scalefit_720_noupscale,"Authorities in Louisiana released a mountain of evidence Friday in a final report which concludes officers were justified in the fatal shooting of a gunman who ambushed and killed three Baton Rouge police officers last year.“There was no doubt here regarding their justifications,” East Baton Rouge District Attorney Hillar Moore said at a Friday press conference. “These courageous officers who responded to this tragedy were completely justified ... and certainly saved more lives than were taken.”The report, which includes 911 recordings, surveillance video and investigative reports, contains a copy of a lengthy handwritten letter that was found inside Gavin Eugene Long’s vehicle. In the note, Long, a former marine who lived in Kansas City, Missouri, wrote that he knew people would not believe that he would be capable of “such horrendous acts of violence.”The report details the events of July 17, 2016, when Long waged a one-man “ambush-style” attack on police on his 29th birthdayDuring his 13-minute shooting spree, Long killed Baton Rouge Police Officers Montrell Jackson, 32, and Matthew Gerald, 41, as well as East Baton Rouge Parish Sheriff’s Deputy Brad Garafola, 45.Three other officers were wounded before Long was shot and killed by responding officers. An autopsy determined that Long, who had a total of 45 bullet wounds, had alcohol and methamphetamine in his system, Moore said.In his note, Long said he had to inflict “destruction ... upon bad cops as well as good cops in hopes that the good cops (which are the majority) will be able to stand together and enact justice and punishment against bad cops.”He called his actions, “A sacrifice for my people and a sacrifice for the people.”The killings came less than two weeks after Alton Sterling was shot to death by Baton Rouge police. That case sparked protests and nationwide outrage after video surfaced showing two officers pinning Sterling to the ground before shooting him at close range.The Hammond Aire Plaza, where Long waged his attack on police, is about a mile south of police headquarters and about five miles away from where Sterling was shot and killed.While authorities were able to determine Long had searched for information on the officers involved in Sterling’s shooting, it does not appear he planned to target them or that he participated in protests.“He thinks protests are worthless,” Moore said, referring to Long’s suicide note. “You’ll read that in his own words.”While the investigation into the attack has been able to answer the question as to how Long carried it out, the reason why he traveled to Louisiana’s capital city in the first place remains a mystery.“We don’t have a clear answer as to why,” Moore said.David Lohr covers crime and missing persons. Tips? Feedback? Send an email or follow him on Twitter. "
9,ENTERTAINMENT,Young Thug To Donate Money From NYC Show To Planned Parenthood,Maxwell Strachan,https://www.huffingtonpost.com/entry/young-thug-planned-parenthood_us_5956a23ee4b05c37bb7e4301,"""I was a teenage parent.""",2017-06-30,Young Thug is donating the money from his show in New York City to planned parenthood.,https://img.huffingtonpost.com/asset/5956a7942100003400fc4eb1.jpeg?ops=scalefit_720_noupscale,"Young Thug just released his newest album, “Beautiful Thugger Girls,” and followed it up with a show on Thursday night at Terminal 5 in New York City.But on Thursday, he revealed that he wouldn’t be keeping the money he made from the show. Instead, he was going to donate it to Planned Parenthood. Soon after Young Thug’s tweet, Planned Parenthood thanked him for his donation.The artist has six children, the first of whom was born when Young Thug was just 17 years old. Roughly 15 percent of Planned Parenthood’s patients in the U.S. are teenagers, according to its website. The organization has been under attack since President Donald Trump’s inauguration earlier this year. In April, he signed legislation that would cut Planned Parenthood off from federal funding. Overall, the teenage birth rate has dropped dramatically over the last decade, according to the Center for Disease Control and Prevention. Neither Young Thug’s representatives nor Planned Parenthood immediately returned a request for comment."
