,Unnamed: 0,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),article
9,9,POLITICS,Watch A Trump Surrogate Totally Flip-Flop On Clinton Sex Scandals,Zach Carter and Amber Ferguson,https://www.huffingtonpost.com/entry/marsha-blackburn-clinton-sex-scandals_us_57f29324e4b082aad9bc6fce,C'mon.,2016-10-03,Rep. Marsha Blackburn thinks it's a bad idea to do what she did.,https://img.huffingtonpost.com/asset/57f2955f170000f70aac915c.jpeg?cache=pnVLbNEBIS&ops=crop_0_117_2916_1666%2Cscalefit_720_noupscale,"Rep. Marsha Blackburn (R-Tenn.) is sick of Donald Trump’s campaign attacking Hillary Clinton over her husband’s infidelity. “I think this is one of those things where he would be well-served not to talk about Mrs. Clinton, her relationship with her husband,” Blackburn, a top Trump surrogate, told MSNBC on Monday. “When I’m talking to constituents, what they wanna hear about is national security, jobs and economic security.”And she’s right. Why would anyone bring up Clinton’s marital troubles? It’s cheap and low and a pretty blatantly sexist tactic. But something seems odd about Blackburn dismissing those old sex scandals. Ah, that’s right. Blackburn herself brought them up unprompted in an MSNBC interview just last week.“I find it so interesting that there continues to be this conversation about what he has said, when you look at what she has done ― Gennifer Flowers, Paula Jones, Monica Lewinsky, my goodness,” Blackburn said last Wednesday. “Lewinsky started an anti-bullying foundation because of what the Clintons did to her.”Watch Blackburn’s flip-flop in the video below:2016. It will destroy your brain. "
12,12,THE WORLDPOST,Can China Still Claim 'Non-Interference' In Africa?,"Eric Olander and Cobus van Staden, The China Africa Project",https://www.huffingtonpost.com/entry/china-interference-africa_us_57eaec51e4b024a52d2b6052,An expert from the China Africa Project weighs in.,2016-10-03,"One-hundred and thirty Chinese peacekeeping troops arrive at Juba International Airport on April 8, 2015, as part of a U.N. peacekeeping mission.",https://img.huffingtonpost.com/asset/57f27f28170000e00aac90d6.jpeg?ops=scalefit_720_noupscale,"Eric Olander and Cobus van Staden are the duo behind the China Africa Project and hosts of the popular China in Africa Podcast. We’re here to answer your most pressing, puzzling, even politically incorrect questions, about all things related to the Chinese in Africa and Africans in China.The Chinese say they have a strict “non-interference policy” in the internal affairs of other countries. China “not interfering”? What did everyone call China sending the money (financial aid) to the Sudanese who were sponsoring the paramilitary soldiers who were attacking the civilians in Darfur?— Michael via FacebookDear Michael, I’m going to sound a bit technical here, and I don’t want you to think that I am trying to avoid a straight answer because I’m not… but… the central issue comes down to how you define the word “interfere” as that is a really flexible word depending on what side of the story you’re on.You are absolutely right to point out how the Sudans, both Sudan and South Sudan, are pushing one of China’s foundational foreign policy principles to its limits. The non-interference doctrine was first introduced back in the 1950s by [China’s] former Prime Minister Zhou Enlai. For more than 60 years that policy has served Beijing well. For the most part, the Chinese studiously avoided getting caught up in other countries’ internal rivalries, wars and politics.But that was then. Today, China is the world’s second-largest economy, and has enormous trading interests, huge investments and millions of its people scattered across the globe, particularly throughout Africa. Compared to China under the rule of Zhou Enlai, the country has a vastly more complicated international agenda. Sudan, in particular, is a microcosm of these overlapping interests and highlights the real pressures that China is confronting as it struggles to remain faithful to this once unshakable policy.Before the two Sudans split, it was the Chinese who invested 20 billion dollars to revive its moribund oil production sector, so it shouldn’t come as a big surprise that Chinese officials feel they have a lot at stake in this region.When the second Sudanese civil war (1983-2005) intensified and the war in Darfur kicked off in 2003, the Chinese instinctively aligned themselves with their allies in Khartoum, providing diplomatic cover, financial support, and, yes, lots of weapons. So this is where the point you are trying to make gets really messy. The Chinese government will argue that the selling of arms between two sovereign governments is perfectly fine. There is nothing wrong when the U.S. sells weapons to the Spanish or when Germany sells its military hardware to the U.K., so what is the difference when China sells sophisticated weapons to the Sudanese?In principle, I think they are totally right. We (Westerners) may not like the Sudanese or the Chinese for that matter, but they are two sovereign governments and they should be allowed to trade money or oil for guns just as almost every other country around the world does. While their above board trade is legitimate in my opinion, there is shady stuff that’s offensive and raises the questions of whether China is actually doing more than trading with an ally, and instead is supporting a faction within a civil war (and thus intervening in the internal affairs of another country).For example, in the case of Darfur, there were widespread reports of Chinese arms vendors defying a U.N. arms embargo and then later, in South Sudan, Chinese weapons companies were allegedly selling small arms to even the government, as Chinese diplomats were working as mediators to resolve the ongoing civil war.While I share your outrage over some of what has happened, I think it’s also important to recognize that the situation may not be as clear cut as it looks. Back in 2014 when it was discovered that the state-owned Chinese arms company Norinco was going to sell $38 million worth of weapons to the government in Juba, there were some indications that the arms dealers were acting outside of the political process. Many foreigners don’t always understand that even though companies like Norinco are state-owned, they often do not operate in sync with other elements of the Chinese government (like the foreign ministry, in this case.) This is by no means meant to excuse the behavior of Chinese state-run companies, but it may explain, at least in part, some of the arms sales to Africa that seem to contradict official policy. Chinese combat troops are on the ground in South Sudan as part of the U.N. force. This, together with a legacy of morally questionable, even illegal arms sales, as well as Beijing’s historical preference to support incumbent governments over factional rivals in Africa, make places like the Sudans the most significant challenge to the non-interference doctrine in the policy’s over six-decade history.― EricAsk Eric & Cobus at questions@chinaafricaproject.com. Subscribe to their weekly email newsletter at www.chinaafricaproject.com and subscribe to their weekly audio podcast at www.itunes.com/ChinaAfricaProject or from your favorite podcast app."
13,13,THE WORLDPOST,Can China Still Claim 'Non-Interference' In Africa?,"Eric Olander and Cobus van Staden, The China Africa Project",https://www.huffingtonpost.com/entry/china-interference-africa_us_57eaec51e4b024a52d2b6052,An expert from the China Africa Project weighs in.,2016-10-03,Chinese Premier Zhou Enlai talks to Reuters correspondent David Chipp (R) in this undated photo. Zhou Enlai was Chinese prime minister from 1949 until his death in 1976.,https://img.huffingtonpost.com/asset/57ed749d170000e00aac8428.jpeg?ops=scalefit_720_noupscale,"Eric Olander and Cobus van Staden are the duo behind the China Africa Project and hosts of the popular China in Africa Podcast. We’re here to answer your most pressing, puzzling, even politically incorrect questions, about all things related to the Chinese in Africa and Africans in China.The Chinese say they have a strict “non-interference policy” in the internal affairs of other countries. China “not interfering”? What did everyone call China sending the money (financial aid) to the Sudanese who were sponsoring the paramilitary soldiers who were attacking the civilians in Darfur?— Michael via FacebookDear Michael, I’m going to sound a bit technical here, and I don’t want you to think that I am trying to avoid a straight answer because I’m not… but… the central issue comes down to how you define the word “interfere” as that is a really flexible word depending on what side of the story you’re on.You are absolutely right to point out how the Sudans, both Sudan and South Sudan, are pushing one of China’s foundational foreign policy principles to its limits. The non-interference doctrine was first introduced back in the 1950s by [China’s] former Prime Minister Zhou Enlai. For more than 60 years that policy has served Beijing well. For the most part, the Chinese studiously avoided getting caught up in other countries’ internal rivalries, wars and politics.But that was then. Today, China is the world’s second-largest economy, and has enormous trading interests, huge investments and millions of its people scattered across the globe, particularly throughout Africa. Compared to China under the rule of Zhou Enlai, the country has a vastly more complicated international agenda. Sudan, in particular, is a microcosm of these overlapping interests and highlights the real pressures that China is confronting as it struggles to remain faithful to this once unshakable policy.Before the two Sudans split, it was the Chinese who invested 20 billion dollars to revive its moribund oil production sector, so it shouldn’t come as a big surprise that Chinese officials feel they have a lot at stake in this region.When the second Sudanese civil war (1983-2005) intensified and the war in Darfur kicked off in 2003, the Chinese instinctively aligned themselves with their allies in Khartoum, providing diplomatic cover, financial support, and, yes, lots of weapons. So this is where the point you are trying to make gets really messy. The Chinese government will argue that the selling of arms between two sovereign governments is perfectly fine. There is nothing wrong when the U.S. sells weapons to the Spanish or when Germany sells its military hardware to the U.K., so what is the difference when China sells sophisticated weapons to the Sudanese?In principle, I think they are totally right. We (Westerners) may not like the Sudanese or the Chinese for that matter, but they are two sovereign governments and they should be allowed to trade money or oil for guns just as almost every other country around the world does. While their above board trade is legitimate in my opinion, there is shady stuff that’s offensive and raises the questions of whether China is actually doing more than trading with an ally, and instead is supporting a faction within a civil war (and thus intervening in the internal affairs of another country).For example, in the case of Darfur, there were widespread reports of Chinese arms vendors defying a U.N. arms embargo and then later, in South Sudan, Chinese weapons companies were allegedly selling small arms to even the government, as Chinese diplomats were working as mediators to resolve the ongoing civil war.While I share your outrage over some of what has happened, I think it’s also important to recognize that the situation may not be as clear cut as it looks. Back in 2014 when it was discovered that the state-owned Chinese arms company Norinco was going to sell $38 million worth of weapons to the government in Juba, there were some indications that the arms dealers were acting outside of the political process. Many foreigners don’t always understand that even though companies like Norinco are state-owned, they often do not operate in sync with other elements of the Chinese government (like the foreign ministry, in this case.) This is by no means meant to excuse the behavior of Chinese state-run companies, but it may explain, at least in part, some of the arms sales to Africa that seem to contradict official policy. Chinese combat troops are on the ground in South Sudan as part of the U.N. force. This, together with a legacy of morally questionable, even illegal arms sales, as well as Beijing’s historical preference to support incumbent governments over factional rivals in Africa, make places like the Sudans the most significant challenge to the non-interference doctrine in the policy’s over six-decade history.― EricAsk Eric & Cobus at questions@chinaafricaproject.com. Subscribe to their weekly email newsletter at www.chinaafricaproject.com and subscribe to their weekly audio podcast at www.itunes.com/ChinaAfricaProject or from your favorite podcast app."
14,14,THE WORLDPOST,Can China Still Claim 'Non-Interference' In Africa?,"Eric Olander and Cobus van Staden, The China Africa Project",https://www.huffingtonpost.com/entry/china-interference-africa_us_57eaec51e4b024a52d2b6052,An expert from the China Africa Project weighs in.,2016-10-03,"One-hundred and thirty Chinese peacekeeping troops, the last detachment of the country's first deployment of a full infantry battalion for a U.N. peacekeeping mission, arrive at Juba Airport on April 8, 2015.",https://img.huffingtonpost.com/asset/57eaedde1a00002c005b52f8.jpeg?ops=scalefit_720_noupscale,"Eric Olander and Cobus van Staden are the duo behind the China Africa Project and hosts of the popular China in Africa Podcast. We’re here to answer your most pressing, puzzling, even politically incorrect questions, about all things related to the Chinese in Africa and Africans in China.The Chinese say they have a strict “non-interference policy” in the internal affairs of other countries. China “not interfering”? What did everyone call China sending the money (financial aid) to the Sudanese who were sponsoring the paramilitary soldiers who were attacking the civilians in Darfur?— Michael via FacebookDear Michael, I’m going to sound a bit technical here, and I don’t want you to think that I am trying to avoid a straight answer because I’m not… but… the central issue comes down to how you define the word “interfere” as that is a really flexible word depending on what side of the story you’re on.You are absolutely right to point out how the Sudans, both Sudan and South Sudan, are pushing one of China’s foundational foreign policy principles to its limits. The non-interference doctrine was first introduced back in the 1950s by [China’s] former Prime Minister Zhou Enlai. For more than 60 years that policy has served Beijing well. For the most part, the Chinese studiously avoided getting caught up in other countries’ internal rivalries, wars and politics.But that was then. Today, China is the world’s second-largest economy, and has enormous trading interests, huge investments and millions of its people scattered across the globe, particularly throughout Africa. Compared to China under the rule of Zhou Enlai, the country has a vastly more complicated international agenda. Sudan, in particular, is a microcosm of these overlapping interests and highlights the real pressures that China is confronting as it struggles to remain faithful to this once unshakable policy.Before the two Sudans split, it was the Chinese who invested 20 billion dollars to revive its moribund oil production sector, so it shouldn’t come as a big surprise that Chinese officials feel they have a lot at stake in this region.When the second Sudanese civil war (1983-2005) intensified and the war in Darfur kicked off in 2003, the Chinese instinctively aligned themselves with their allies in Khartoum, providing diplomatic cover, financial support, and, yes, lots of weapons. So this is where the point you are trying to make gets really messy. The Chinese government will argue that the selling of arms between two sovereign governments is perfectly fine. There is nothing wrong when the U.S. sells weapons to the Spanish or when Germany sells its military hardware to the U.K., so what is the difference when China sells sophisticated weapons to the Sudanese?In principle, I think they are totally right. We (Westerners) may not like the Sudanese or the Chinese for that matter, but they are two sovereign governments and they should be allowed to trade money or oil for guns just as almost every other country around the world does. While their above board trade is legitimate in my opinion, there is shady stuff that’s offensive and raises the questions of whether China is actually doing more than trading with an ally, and instead is supporting a faction within a civil war (and thus intervening in the internal affairs of another country).For example, in the case of Darfur, there were widespread reports of Chinese arms vendors defying a U.N. arms embargo and then later, in South Sudan, Chinese weapons companies were allegedly selling small arms to even the government, as Chinese diplomats were working as mediators to resolve the ongoing civil war.While I share your outrage over some of what has happened, I think it’s also important to recognize that the situation may not be as clear cut as it looks. Back in 2014 when it was discovered that the state-owned Chinese arms company Norinco was going to sell $38 million worth of weapons to the government in Juba, there were some indications that the arms dealers were acting outside of the political process. Many foreigners don’t always understand that even though companies like Norinco are state-owned, they often do not operate in sync with other elements of the Chinese government (like the foreign ministry, in this case.) This is by no means meant to excuse the behavior of Chinese state-run companies, but it may explain, at least in part, some of the arms sales to Africa that seem to contradict official policy. Chinese combat troops are on the ground in South Sudan as part of the U.N. force. This, together with a legacy of morally questionable, even illegal arms sales, as well as Beijing’s historical preference to support incumbent governments over factional rivals in Africa, make places like the Sudans the most significant challenge to the non-interference doctrine in the policy’s over six-decade history.― EricAsk Eric & Cobus at questions@chinaafricaproject.com. Subscribe to their weekly email newsletter at www.chinaafricaproject.com and subscribe to their weekly audio podcast at www.itunes.com/ChinaAfricaProject or from your favorite podcast app."
37,37,SPORTS,U.S. Wins Ryder Cup For First Time Since 2008,"Larry Fine, Reuters",https://www.huffingtonpost.com/entry/us-wins-ryder-cup-for-first-time-since-2008_us_57f17940e4b082aad9bbd801,"By Larry Fine CHASKA, Minnesota (Reuters) - Ryan Moore clinched a thrilling U.S. Ryder Cup triumph over Europe on Sunday",2016-10-02,"Oct 2, 2016; Chaska, MN, USA; Dustin Johnson of the United States chips in on the 16th hole during the single matches in 41st Ryder Cup at Hazeltine National Golf Club. (Rob Schumacher-USA TODAY Sports)",https://img.huffingtonpost.com/asset/57f179c11a0000f3045b66fc.jpeg?cache=N2fyJjFVtP&ops=scalefit_720_noupscale,"By Larry FineCHASKA, Minnesota (Reuters) - Ryan Moore clinched a thrilling U.S. Ryder Cup triumph over Europe on Sunday at Hazeltine National, beating Lee Westwood to end a long U.S. wait to reclaim the golden trophy in golf’s greatest team competition.With Westwood in for bogey at the 18th, Moore rolled his birdie putt to within one foot and the tap-in was conceded to seal a 1-up win and clinch a 15-10 lead for the United States.Team mates, families and friends poured out onto the green to celebrate.The Americans had last won the biennial match play event in 2008 as Europe ran off three Cup victories in a row, extending their domination to eight of the last 10 meetings.Brandt Snedeker had set Moore up for the winning point by claiming a 3 and 1 victory over English rookie Andy Sullivan at the 17th hole.On a brilliantly sunny, warm day, the U.S. side capitalized on their greater depth to close out victory after some titanic early matches in which Europe had closed the gap to one point after entering the deciding 12 singles matches trailing by three.Sensational shot-making and scoring made for great theater on the sprawling Hazeltine layout crowded with some 50,000 roaring fans.(Editing by Andrew Both)"
46,46,CRIME,2 University Students Shot Dead At House Party,Nina Golgowski,https://www.huffingtonpost.com/entry/university-students-killed-at-party_us_57f0fd02e4b024a52d2f64de,North Carolina Agricultural and Technical State University said a male suspect managed to flee the scene.,2016-10-02,Police said two students are dead following a shooting at a house party near NC A&T State University early Sunday.,https://img.huffingtonpost.com/asset/57f121d7170000f70aac8d35.png?cache=Rylgvu0Tff&ops=crop_8_57_1432_797%2Cscalefit_720_noupscale,"A shooting at a house party near North Carolina Agricultural and Technical State University has left two students dead, police and school officials confirmed.Alisia Dieudonne, 19, and Ahmad Campbell, 21, were fatally shot during an altercation at the party around 2 a.m. Sunday, Greensboro police said in an emailed statement.The school said in a statement that police are looking for a suspect who’s described as a black male seen leaving the scene in a red vehicle. His direction was unknown.Dieudonne was a sophomore from Homewood, Illinois, who was studying computer science. Campbell was a junior from Kittrell, North Carolina. He was studying agriculture and environmental systems, the school said.Police said they are working with university police and administrators, and an investigation is ongoing."
55,55,POLITICS,Flailing Trump Suggests Hillary Clinton May Have Cheated On Husband,,https://www.huffingtonpost.com/entry/trump-clinton-cheated-husband_us_57f07485e4b0c2407cde47fb,"“I don’t even think she’s loyal to Bill, to tell you the truth.""",2016-10-02,"Republican presidential nominee Donald Trump speaks at a campaign event on October 1, 2016 at the Spooky Nook Sports Complex in Manheim, Pennsylvania.",https://img.huffingtonpost.com/asset/57f075871a0000de085b6575.jpeg?ops=scalefit_720_noupscale,"Republican presidential nominee Donald Trump closed out a rough week for his campaign on Saturday by escalating personal attacks on Democrat Hillary Clinton, questioning her stamina and saying she should be in prison for her handling of classified emails.After a week in which he drew wide criticism for a public feud with a former beauty queen, Trump sought to rebound with a highly negative attack on his opponent in the Nov. 8 election, with a second presidential debate against her looming in a week.At the same time, the New York Times reported it had obtained records showing Trump declared a $916 million loss on his 1995 income tax returns, a deduction so large that it may have allowed him to avoid paying any federal income taxes for years.Trump has refused to release his tax records, saying he is under a federal audit.At a rally in Manheim, Pennsylvania, Trump said he did not believe Clinton, who suffered a bout of pneumonia last month, was up to the task of being president. He tried to resurrect a tactic he employed against former Republican rival Jeb Bush, who Trump had derided as “low energy.”Clinton kept her pneumonia diagnosis private until she was seen nearly collapsing while getting into her vehicle at a ceremony marking the Sept. 11, 2001, attacks in New York.Ticking off a list of world problems, Trump said, “She’s supposed to fight all of these things and she can’t make it 15 feet to her car. Give me a break.”“Folks, we need stamina, we need energy, we need people who are going to turn deals around,”Trump said.Trump has often told crowds who chant “lock her up” over her use of a private email server as U.S. secretary of state from 2009 to 2013 to instead help him defeat her.But on Saturday, Trump told thousands of supporters that Clinton’s handling of classified emails and destroying of 33,000 emails that she had deemed of a personal nature meant that “she should be in prison, let me tell you.”Trump did not stop there. He said he did not believe Clinton would be loyal to her supporters and chuckled, “I don’t even think she’s loyal to Bill, to tell you the truth. And why should she be, right? Why should she be?”In 1998, Clinton’s husband, former President Bill Clinton, was caught up in a sex scandal involving former White House intern Monica Lewinsky.Trump was widely seen as having lost his first presidential debate with Clinton last Monday although he cites online polls showing he won.In the days since the debate, Trump has been struggling to regain his footing, getting caught up in a back-and-forth with former Miss Universe Alicia Machado, who Trump had criticized for gaining weight.(Reporting By Steve Holland; Editing by Tom Brown)"
58,58,POLITICS,Rudy Giuliani Has An Odd Defense For His Attack On Clinton's Marital History,Sam Stein,https://www.huffingtonpost.com/entry/rudy-giuliani-clinton-affairs_us_57f11f25e4b024a52d2f6b6c,"Everybody cheats, the former mayor says.",2016-10-02,"Giuliani says ""everyone"" cheats, when explaining why he can attack Clinton for her marital history.",https://img.huffingtonpost.com/asset/default-missing-image.jpg?cache=jIO2VoZgTY&ops=scalefit_720_noupscale,"Rudy Giuliani, the thrice-married former New York City mayor now going after Hillary Clinton for the way she responded to her husband’s affairs, said he was perfectly morally capable of launching such an attack because infidelity was universal.The comment from the top Donald Trump surrogate came during an exchange on “Meet the Press” this Sunday.CHUCK TODD: Are you the right person to level this charge?Giuliani has been at the point of the spear of the newly developing attack line from the Trump campaign that Hillary Clinton mistreated the women with whom Bill Clinton had affairs. After Monday night’s debate, the former mayor said Clinton was “too stupid to be president” ― a point he elaborated on during the Sunday interview.“What I meant was, after the long, long history of Bill Clinton, Gennifer Flowers, Juanita Broaddrick, I don’t know, 27 people making claims against him, including a settlement with one of them where it was obviously true, when she first heard about Monica Lewinksy, to pretend for five or six months that it was false,” he said. “[S]he was wrong to attack the victim.”Attacking Clinton for attacking her husband’s accusers is the slightly more nuanced approach that the Trump campaign is taking in bringing up Bill Clinton’s past. But this is still treacherous political turf for the Republican nominee, which Giuliani surely must recognize.Back when he was thinking of making a run against Clinton for the New York Senate seat in the 2000 election, Giuliani commissioned a focus group that, among other things, explored voter reactions to attacks on the Clinton marriage. Rick Wilson, a longtime GOP operative, recalled the findings to The Huffington Post.“It was a totally ineffective attack in moving voters to Rudy, even if they weren’t pissed off and offended,” Wilson emailed. “It made [Clinton] more likable and we even had people saying things like, ‘Well, she deserves to be a Senator after how badly Bill treated her.’”"
61,61,POLITICS,Boy Fatally Injured In School Shooting Will Have Superhero Funeral,Nina Golgowski,https://www.huffingtonpost.com/entry/jacob-hall-superhero-funeral-townville_us_57f14b52e4b024a52d2f7a09,"Jacob Hall's mother said it's a fitting send-off for a boy who ""wanted to save everybody.""",2016-10-02,Jacob Hall died after being critically wounded in a school shooting last week. The 6-year-old boy will be given a superhero's farewell on Wednesday.,https://img.huffingtonpost.com/asset/57f1627e1a0000f3045b66c6.jpeg?cache=8cd7m2evIw&ops=crop_18_14_770_518%2Cscalefit_720_noupscale,"A 6-year-old boy who died following a shooting at a South Carolina elementary school last week will be given a superhero’s farewell. Jacob Hall, who was one of three people shot at Townville Elementary School last Wednesday, will be laid to rest wearing a superhero costume, his mother told reporters Saturday. Batman and his Batmobile will also be in attendance, a charity group confirmed.“We’re just going there to honor his life and celebrate him,” John Buckland, who dresses as the Caped Crusader for West Virginia charity organization Heroes 4 Higher, told The Huffington Post on Sunday. “We’re really just there to go and support his family and at the same time we want to take this situation and inspire people to take pain and turn it into power.”Jacob’s mother, Renae Hall, called it a fitting ceremony for a child who “wanted to save everybody,” Fox Carolina reported.“I don’t want suits and ties and all that,” Hall said. “There will be a lot of children there and I don’t want it to be scary for them. Jacob will be dressed in his superhero costume.”Buckland said Jacob’s friends and family reached out to him to invite him to Wednesday’s funeral, which he said might include Captain America.In addition to attending and assisting with the service, the do-gooder said he hopes that he’ll have the opportunity to meet with some of Jacob’s schoolmates.Since founding the organization in 2012, the former Department of Defense firefighter, who served two years overseas in Iraq, said he’s attended about eight funerals for children as Batman. Often he and other superheroes serve as pallbearers or greeters.The Batmobile he brings with him, dubbed the “Hope Mobile,” is a memorial for some of the “fallen kids” he’s met along the way, he said.Through his visits, he works to inspire children to “never give up, always do the right thing, help other people and never be a bully,” according to his website.Wednesday’s funeral will be held at Townville’s Oakdale Baptist Church, Buckland said.A GoFundMe page has been set up to help raise money for Jacob’s family."
62,62,POLITICS,Boy Fatally Injured In School Shooting Will Have Superhero Funeral,Nina Golgowski,https://www.huffingtonpost.com/entry/jacob-hall-superhero-funeral-townville_us_57f14b52e4b024a52d2f7a09,"Jacob Hall's mother said it's a fitting send-off for a boy who ""wanted to save everybody.""",2016-10-02,Heroes 4 Higher founder John Buckland is seen dressed as Batman with his Batmobile.,https://img.huffingtonpost.com/asset/57f1640a1b00007f08ef3dff.png?ops=scalefit_720_noupscale,"A 6-year-old boy who died following a shooting at a South Carolina elementary school last week will be given a superhero’s farewell. Jacob Hall, who was one of three people shot at Townville Elementary School last Wednesday, will be laid to rest wearing a superhero costume, his mother told reporters Saturday. Batman and his Batmobile will also be in attendance, a charity group confirmed.“We’re just going there to honor his life and celebrate him,” John Buckland, who dresses as the Caped Crusader for West Virginia charity organization Heroes 4 Higher, told The Huffington Post on Sunday. “We’re really just there to go and support his family and at the same time we want to take this situation and inspire people to take pain and turn it into power.”Jacob’s mother, Renae Hall, called it a fitting ceremony for a child who “wanted to save everybody,” Fox Carolina reported.“I don’t want suits and ties and all that,” Hall said. “There will be a lot of children there and I don’t want it to be scary for them. Jacob will be dressed in his superhero costume.”Buckland said Jacob’s friends and family reached out to him to invite him to Wednesday’s funeral, which he said might include Captain America.In addition to attending and assisting with the service, the do-gooder said he hopes that he’ll have the opportunity to meet with some of Jacob’s schoolmates.Since founding the organization in 2012, the former Department of Defense firefighter, who served two years overseas in Iraq, said he’s attended about eight funerals for children as Batman. Often he and other superheroes serve as pallbearers or greeters.The Batmobile he brings with him, dubbed the “Hope Mobile,” is a memorial for some of the “fallen kids” he’s met along the way, he said.Through his visits, he works to inspire children to “never give up, always do the right thing, help other people and never be a bully,” according to his website.Wednesday’s funeral will be held at Townville’s Oakdale Baptist Church, Buckland said.A GoFundMe page has been set up to help raise money for Jacob’s family."
