,category,headline,authors,link,short descr,date,image_caption(s),image_link(s)
0,MEDIA,Donna Brazile Appears To Have Sent CNN Debate Question To Clinton Campaign,Michael Calderone,https://www.huffingtonpost.com/entry/cnn-donna-brazile_us_58176f0ae4b0990edc325a78,The network has severed ties with the political commentator and interim Democratic National Committee chair.,2016-10-31,Michael Calderone,https://img.huffingtonpost.com/asset/5605b7221b00001900dfd969.jpeg?ops=100_100
1,MEDIA,Donna Brazile Appears To Have Sent CNN Debate Question To Clinton Campaign,Michael Calderone,https://www.huffingtonpost.com/entry/cnn-donna-brazile_us_58176f0ae4b0990edc325a78,The network has severed ties with the political commentator and interim Democratic National Committee chair.,2016-10-31,Donna Brazile has resigned from CNN. ,https://img.huffingtonpost.com/asset/581770df190000a304c2ffc6.jpeg?ops=scalefit_720_noupscale
2,MEDIA,Donna Brazile Appears To Have Sent CNN Debate Question To Clinton Campaign,Michael Calderone,https://www.huffingtonpost.com/entry/cnn-donna-brazile_us_58176f0ae4b0990edc325a78,The network has severed ties with the political commentator and interim Democratic National Committee chair.,2016-10-31,,https://img.huffingtonpost.com/asset/62ead4be2400003400e151a7.jpeg?cache=Sw47ZOsG3m&ops=210_120
3,POLITICS,Most Americans Think Voting Should Be Easy,Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/americans-voting-easy-poll_us_5815ea22e4b0990edc31bd2b,The most recent news cycle hasn't significantly affected views on voting rights.,2016-10-30,Ariel Edwards-Levy,https://img.huffingtonpost.com/asset/5d532dc22200001a00f53c4b.jpg?ops=100_100
4,POLITICS,Most Americans Think Voting Should Be Easy,Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/americans-voting-easy-poll_us_5815ea22e4b0990edc31bd2b,The most recent news cycle hasn't significantly affected views on voting rights.,2016-10-30,,https://img.huffingtonpost.com/asset/58161691150000b700530a62.jpeg?ops=scalefit_720_noupscale
5,POLITICS,Most Americans Think Voting Should Be Easy,Ariel Edwards-Levy,https://www.huffingtonpost.com/entry/americans-voting-easy-poll_us_5815ea22e4b0990edc31bd2b,The most recent news cycle hasn't significantly affected views on voting rights.,2016-10-30,,https://img.huffingtonpost.com/asset/62e9f9ac2500003300bf0c4e.jpeg?cache=6GUsetqaXo&ops=210_120
6,WEIRD NEWS,'Ghostbusters' Theme Song Gets The Halloween Pumpkin Remix It Needed,Lee Moran,https://www.huffingtonpost.com/entry/ghostbusters-theme-pumpkins_us_5815a260e4b0390e69d0bed1,Dan Newbie ain't afraid of no pumpkins!,2016-10-30,Lee Moran,https://img.huffingtonpost.com/asset/5d243183250000b21ae9cc35.jpg?ops=100_100
7,WEIRD NEWS,'Ghostbusters' Theme Song Gets The Halloween Pumpkin Remix It Needed,Lee Moran,https://www.huffingtonpost.com/entry/ghostbusters-theme-pumpkins_us_5815a260e4b0390e69d0bed1,Dan Newbie ain't afraid of no pumpkins!,2016-10-30,,https://img.huffingtonpost.com/asset/62e3ff5d2400004600d583ee.jpg?cache=D3nSE4gU3a&ops=210_120
8,WEIRD NEWS,'Ghostbusters' Theme Song Gets The Halloween Pumpkin Remix It Needed,Lee Moran,https://www.huffingtonpost.com/entry/ghostbusters-theme-pumpkins_us_5815a260e4b0390e69d0bed1,Dan Newbie ain't afraid of no pumpkins!,2016-10-30,,https://img.huffingtonpost.com/asset/62e1b81925000082ab33140f.jpg?cache=BDEJGWkA94&ops=210_120
9,POLITICS,FBI Obtains Search Warrant To Examine New Clinton Emails,,https://www.huffingtonpost.com/entry/fbi-search-warrant-clinton-emails_us_5816829ce4b064e1b4b32146,The bureau can now investigate whether the newly discovered emails are relevant to its probe of Clinton's private email server.,2016-10-30,Reuters logo,https://cambria.assets.huffpost.com/images/partners/reuters.hash-80f2d07a2f31891e1501eaeb38dfb3b9.png
10,POLITICS,FBI Obtains Search Warrant To Examine New Clinton Emails,,https://www.huffingtonpost.com/entry/fbi-search-warrant-clinton-emails_us_5816829ce4b064e1b4b32146,The bureau can now investigate whether the newly discovered emails are relevant to its probe of Clinton's private email server.,2016-10-30,,https://img.huffingtonpost.com/asset/62eacd362400005f00e151a4.jpeg?cache=c0TBct63dX&ops=210_120
11,POLITICS,FBI Obtains Search Warrant To Examine New Clinton Emails,,https://www.huffingtonpost.com/entry/fbi-search-warrant-clinton-emails_us_5816829ce4b064e1b4b32146,The bureau can now investigate whether the newly discovered emails are relevant to its probe of Clinton's private email server.,2016-10-30,,https://img.huffingtonpost.com/asset/62e535e22600003e00984a07.jpeg?cache=Fm2vDHEgcT&ops=210_120
12,WEIRD NEWS,Hydraulic Press Crushes The Immortal Soul Out Of Halloween,Lee Moran,https://www.huffingtonpost.com/entry/halloween-hydraulic-press-video_us_5815ffffe4b064e1b4b3052c,"Bye bye, Mr. Pumpkin.",2016-10-30,Lee Moran,https://img.huffingtonpost.com/asset/5d243183250000b21ae9cc35.jpg?ops=100_100
13,WEIRD NEWS,Hydraulic Press Crushes The Immortal Soul Out Of Halloween,Lee Moran,https://www.huffingtonpost.com/entry/halloween-hydraulic-press-video_us_5815ffffe4b064e1b4b3052c,"Bye bye, Mr. Pumpkin.",2016-10-30,,https://img.huffingtonpost.com/asset/62e996612500005100bf0bff.jpg?cache=nq3N45ddwV&ops=210_120
14,WEIRD NEWS,Hydraulic Press Crushes The Immortal Soul Out Of Halloween,Lee Moran,https://www.huffingtonpost.com/entry/halloween-hydraulic-press-video_us_5815ffffe4b064e1b4b3052c,"Bye bye, Mr. Pumpkin.",2016-10-30,,https://img.huffingtonpost.com/asset/62e7dd082700004000ba03e3.jpg?cache=QvBAGI6ZIZ&ops=210_120
15,POLITICS,Kellyanne Conway Admits At Least One Trump Supporter Is Deplorable,Paul Blumenthal,https://www.huffingtonpost.com/entry/kellyanne-conway-deplorable_us_581613d8e4b0390e69d0cd6b,"The man yelled ""Jew-S-A"" at the press during a Trump rally.",2016-10-30,Paul Blumenthal,https://img.huffingtonpost.com/asset/5c1a707c3c0000b6040f358b.jpg?ops=100_100
16,POLITICS,Kellyanne Conway Admits At Least One Trump Supporter Is Deplorable,Paul Blumenthal,https://www.huffingtonpost.com/entry/kellyanne-conway-deplorable_us_581613d8e4b0390e69d0cd6b,"The man yelled ""Jew-S-A"" at the press during a Trump rally.",2016-10-30,,https://img.huffingtonpost.com/asset/62ea44b12500003c0082c732.jpeg?cache=fkZIdqLzRn&ops=210_120
17,POLITICS,Kellyanne Conway Admits At Least One Trump Supporter Is Deplorable,Paul Blumenthal,https://www.huffingtonpost.com/entry/kellyanne-conway-deplorable_us_581613d8e4b0390e69d0cd6b,"The man yelled ""Jew-S-A"" at the press during a Trump rally.",2016-10-30,,https://img.huffingtonpost.com/asset/62e4a02d2500003600333961.jpeg?cache=6JqqW14lek&ops=210_120
18,POLITICS,Joe Biden Admits It's Easier For Him To Be Seen As 'Authentic' Because He's A Guy,Amanda Terkel,https://www.huffingtonpost.com/entry/joe-biden-double-standard_us_58160212e4b064e1b4b3059b,"""You know there's kind of a double standard.""",2016-10-30,Amanda Terkel,https://img.huffingtonpost.com/asset/5cd094111f00002f003189ee.png?ops=100_100
19,POLITICS,Joe Biden Admits It's Easier For Him To Be Seen As 'Authentic' Because He's A Guy,Amanda Terkel,https://www.huffingtonpost.com/entry/joe-biden-double-standard_us_58160212e4b064e1b4b3059b,"""You know there's kind of a double standard.""",2016-10-30,,https://img.huffingtonpost.com/asset/62ea44b12500003c0082c732.jpeg?cache=fkZIdqLzRn&ops=210_120
20,POLITICS,Joe Biden Admits It's Easier For Him To Be Seen As 'Authentic' Because He's A Guy,Amanda Terkel,https://www.huffingtonpost.com/entry/joe-biden-double-standard_us_58160212e4b064e1b4b3059b,"""You know there's kind of a double standard.""",2016-10-30,,https://img.huffingtonpost.com/asset/62e47b872400003c00d58446.jpeg?cache=xy02PKDIGy&ops=210_120
21,ENTERTAINMENT,Kelly Clarkson Takes Her Sia Costume To The Next Level With A 'Chandelier' Cover,Julia Brucculieri,https://www.huffingtonpost.com/entry/kelly-clarkson-sia-cover-chandelier_us_581623c5e4b064e1b4b31194,This is commitment.,2016-10-30,Julia Brucculieri,https://img.huffingtonpost.com/asset/5c812dfe2400009c04a2c59f.png?ops=100_100
22,ENTERTAINMENT,Kelly Clarkson Takes Her Sia Costume To The Next Level With A 'Chandelier' Cover,Julia Brucculieri,https://www.huffingtonpost.com/entry/kelly-clarkson-sia-cover-chandelier_us_581623c5e4b064e1b4b31194,This is commitment.,2016-10-30,,https://img.huffingtonpost.com/asset/62e42e4626000035009849c0.jpeg?cache=vm3jBWPE86&ops=210_120
23,ENTERTAINMENT,Kelly Clarkson Takes Her Sia Costume To The Next Level With A 'Chandelier' Cover,Julia Brucculieri,https://www.huffingtonpost.com/entry/kelly-clarkson-sia-cover-chandelier_us_581623c5e4b064e1b4b31194,This is commitment.,2016-10-30,,https://img.huffingtonpost.com/asset/62eaaaf92400001d00e1517f.jpg?cache=q8twedgIbm&ops=210_120
24,POLITICS,Hillary Clinton's Campaign 'Puzzled And Outraged' By FBI Director's Shake-Up Of Election,Dave Jamieson,https://www.huffingtonpost.com/entry/hillary-clintons-campaign-fbi-video_us_58163d3ee4b0990edc31d008,Her spokesman says James Comey’s “unbelievably vague” letter to lawmakers was a gift to Republicans.,2016-10-30,Dave Jamieson,https://img.huffingtonpost.com/asset/5c122a1e1f0000190826ab7b.jpeg?ops=100_100
25,POLITICS,Hillary Clinton's Campaign 'Puzzled And Outraged' By FBI Director's Shake-Up Of Election,Dave Jamieson,https://www.huffingtonpost.com/entry/hillary-clintons-campaign-fbi-video_us_58163d3ee4b0990edc31d008,Her spokesman says James Comey’s “unbelievably vague” letter to lawmakers was a gift to Republicans.,2016-10-30,,https://img.huffingtonpost.com/asset/62e73eb72700003400ba0367.jpeg?cache=iR9ubdPmMS&ops=210_120
26,POLITICS,Hillary Clinton's Campaign 'Puzzled And Outraged' By FBI Director's Shake-Up Of Election,Dave Jamieson,https://www.huffingtonpost.com/entry/hillary-clintons-campaign-fbi-video_us_58163d3ee4b0990edc31d008,Her spokesman says James Comey’s “unbelievably vague” letter to lawmakers was a gift to Republicans.,2016-10-30,,https://img.huffingtonpost.com/asset/62e2b024250000dfb04772cf.jpeg?cache=gAQiF1V6r2&ops=210_120
27,POLITICS,Joe Biden Says Clinton Foundation Should Not Shut Down,Paul Blumenthal,https://www.huffingtonpost.com/entry/joe-biden-clinton-foundation_us_58160704e4b064e1b4b3074f,"""It's done too much good.""",2016-10-30,Paul Blumenthal,https://img.huffingtonpost.com/asset/5c1a707c3c0000b6040f358b.jpg?ops=100_100
28,POLITICS,Joe Biden Says Clinton Foundation Should Not Shut Down,Paul Blumenthal,https://www.huffingtonpost.com/entry/joe-biden-clinton-foundation_us_58160704e4b064e1b4b3074f,"""It's done too much good.""",2016-10-30,,https://img.huffingtonpost.com/asset/62ea44b12500003c0082c732.jpeg?cache=fkZIdqLzRn&ops=210_120
29,POLITICS,Joe Biden Says Clinton Foundation Should Not Shut Down,Paul Blumenthal,https://www.huffingtonpost.com/entry/joe-biden-clinton-foundation_us_58160704e4b064e1b4b3074f,"""It's done too much good.""",2016-10-30,,https://img.huffingtonpost.com/asset/62e941702700006100f4c20f.jpeg?cache=zY4XBnqfo0&ops=210_120
30,ENTERTAINMENT,'Inferno' Is No Match For 'A Madea Halloween' At The Weekend Box Office,"Brent Lang, Reuters",https://www.huffingtonpost.com/entry/weekend-box-office-inferno-madea-halloween_us_581638bce4b064e1b4b3147b,The Tom Hanks film based on the Dan Brown novel earned a measly $15 million in its debut weekend.,2016-10-30,Reuters logo,https://cambria.assets.huffpost.com/images/partners/reuters.hash-80f2d07a2f31891e1501eaeb38dfb3b9.png
31,ENTERTAINMENT,'Inferno' Is No Match For 'A Madea Halloween' At The Weekend Box Office,"Brent Lang, Reuters",https://www.huffingtonpost.com/entry/weekend-box-office-inferno-madea-halloween_us_581638bce4b064e1b4b3147b,The Tom Hanks film based on the Dan Brown novel earned a measly $15 million in its debut weekend.,2016-10-30,,https://img.huffingtonpost.com/asset/62e86e0c2400005a09d58649.jpeg?cache=PnIgfmDmCS&ops=210_120
32,ENTERTAINMENT,'Inferno' Is No Match For 'A Madea Halloween' At The Weekend Box Office,"Brent Lang, Reuters",https://www.huffingtonpost.com/entry/weekend-box-office-inferno-madea-halloween_us_581638bce4b064e1b4b3147b,The Tom Hanks film based on the Dan Brown novel earned a measly $15 million in its debut weekend.,2016-10-30,,https://img.huffingtonpost.com/asset/62ea7f69250000640082c75e.jpeg?cache=QVvnub7EYn&ops=210_120
33,POLITICS,"Donald Trump Might Be Gaining In The Polls, But The Picture Isn’t Clear",Natalie Jackson,https://www.huffingtonpost.com/entry/donald-trump-gains-polls_us_581605d1e4b064e1b4b30640,"Regardless, he still trails badly in Electoral College projections.",2016-10-30,Natalie Jackson,https://img.huffingtonpost.com/asset/5c934a8d240000ad064e6a93.png?ops=100_100
34,POLITICS,"Donald Trump Might Be Gaining In The Polls, But The Picture Isn’t Clear",Natalie Jackson,https://www.huffingtonpost.com/entry/donald-trump-gains-polls_us_581605d1e4b064e1b4b30640,"Regardless, he still trails badly in Electoral College projections.",2016-10-30,,https://img.huffingtonpost.com/asset/581607e6170000c3045ba9da.jpeg?ops=scalefit_720_noupscale
35,POLITICS,"Donald Trump Might Be Gaining In The Polls, But The Picture Isn’t Clear",Natalie Jackson,https://www.huffingtonpost.com/entry/donald-trump-gains-polls_us_581605d1e4b064e1b4b30640,"Regardless, he still trails badly in Electoral College projections.",2016-10-30,,https://img.huffingtonpost.com/asset/62e2b024250000dfb04772cf.jpeg?cache=gAQiF1V6r2&ops=210_120
36,ENTERTAINMENT,Hillary Clinton Joins Jennifer Lopez Onstage To Encourage Voters To 'Get Loud',Julia Brucculieri,https://www.huffingtonpost.com/entry/jennifer-lopez-hillary-clinton_us_581604d9e4b0990edc31c099,"She also took a jab at Donald Trump, naturally.",2016-10-30,Julia Brucculieri,https://img.huffingtonpost.com/asset/5c812dfe2400009c04a2c59f.png?ops=100_100
37,ENTERTAINMENT,Hillary Clinton Joins Jennifer Lopez Onstage To Encourage Voters To 'Get Loud',Julia Brucculieri,https://www.huffingtonpost.com/entry/jennifer-lopez-hillary-clinton_us_581604d9e4b0990edc31c099,"She also took a jab at Donald Trump, naturally.",2016-10-30,,https://img.huffingtonpost.com/asset/62e5fd782600003e00984a16.jpeg?cache=8PdgKN9nnC&ops=210_120
38,ENTERTAINMENT,Hillary Clinton Joins Jennifer Lopez Onstage To Encourage Voters To 'Get Loud',Julia Brucculieri,https://www.huffingtonpost.com/entry/jennifer-lopez-hillary-clinton_us_581604d9e4b0990edc31c099,"She also took a jab at Donald Trump, naturally.",2016-10-30,,https://img.huffingtonpost.com/asset/62ead7ce2300005c00977c30.jpeg?cache=Ceg3OMDev7&ops=210_120
39,QUEER VOICES,Why Is Roller Derby Important To So Many Queer Women?,James Michael Nichols,https://www.huffingtonpost.com/entry/roller-derby-queer-women_us_5813be86e4b0390e69d05780,"“Even today, there aren’t enough positive role models for young queer people, but the derby community is full of happy, healthy out queer people.”",2016-10-30,James Michael Nichols,https://img.huffingtonpost.com/asset/597640292100008860fc86c5.jpg?ops=100_100
40,QUEER VOICES,Why Is Roller Derby Important To So Many Queer Women?,James Michael Nichols,https://www.huffingtonpost.com/entry/roller-derby-queer-women_us_5813be86e4b0390e69d05780,"“Even today, there aren’t enough positive role models for young queer people, but the derby community is full of happy, healthy out queer people.”",2016-10-30,,https://img.huffingtonpost.com/asset/5813c1c9190000ec02c2faff.jpeg?ops=scalefit_720_noupscale
41,QUEER VOICES,Why Is Roller Derby Important To So Many Queer Women?,James Michael Nichols,https://www.huffingtonpost.com/entry/roller-derby-queer-women_us_5813be86e4b0390e69d05780,"“Even today, there aren’t enough positive role models for young queer people, but the derby community is full of happy, healthy out queer people.”",2016-10-30,,https://img.huffingtonpost.com/asset/5813c261150000b7005307c9.jpeg?ops=scalefit_720_noupscale
42,POLITICS,Harry Reid Blasts FBI Director James Comey Over Handling Of Clinton Email Probe,Ryan J. Reilly,https://www.huffingtonpost.com/entry/harry-reid-james-comey-clinton_us_58166a08e4b0990edc31d618,🔥🔥🔥,2016-10-30,Ryan J. Reilly,https://img.huffingtonpost.com/asset/5c1228202600005e0484ece5.jpeg?ops=100_100
43,POLITICS,Harry Reid Blasts FBI Director James Comey Over Handling Of Clinton Email Probe,Ryan J. Reilly,https://www.huffingtonpost.com/entry/harry-reid-james-comey-clinton_us_58166a08e4b0990edc31d618,🔥🔥🔥,2016-10-30,,https://img.huffingtonpost.com/asset/58167463150000d804530af1.jpeg?ops=scalefit_720_noupscale
44,POLITICS,Harry Reid Blasts FBI Director James Comey Over Handling Of Clinton Email Probe,Ryan J. Reilly,https://www.huffingtonpost.com/entry/harry-reid-james-comey-clinton_us_58166a08e4b0990edc31d618,🔥🔥🔥,2016-10-30,,https://img.huffingtonpost.com/asset/620d6db92c0000c257df726a.jpeg?cache=ppPyKBOn7d&ops=210_120
45,POLITICS,New FBI Announcement Could Throw Wrench Into Down-Ballot Races,Matt Fuller,https://www.huffingtonpost.com/entry/fbi-emails-down-ballot_us_58161e3ae4b064e1b4b31045,But no one really knows how revisiting the Clinton email investigation will affect other candidates on the ballot.,2016-10-30,Matt Fuller,https://img.huffingtonpost.com/asset/564a06011600002b0026d6ec.jpg?ops=100_100
46,POLITICS,New FBI Announcement Could Throw Wrench Into Down-Ballot Races,Matt Fuller,https://www.huffingtonpost.com/entry/fbi-emails-down-ballot_us_58161e3ae4b064e1b4b31045,But no one really knows how revisiting the Clinton email investigation will affect other candidates on the ballot.,2016-10-30,,https://img.huffingtonpost.com/asset/58583f68120000590eef02cb.jpeg?ops=scalefit_720_noupscale
47,POLITICS,New FBI Announcement Could Throw Wrench Into Down-Ballot Races,Matt Fuller,https://www.huffingtonpost.com/entry/fbi-emails-down-ballot_us_58161e3ae4b064e1b4b31045,But no one really knows how revisiting the Clinton email investigation will affect other candidates on the ballot.,2016-10-30,,https://img.huffingtonpost.com/asset/62e7a20b2400003c00d5854f.jpeg?cache=lV5mWVz9iE&ops=210_120
48,QUEER VOICES,Haunted House That Planned To Recreate Scenes From Pulse Massacre Canceled,Nina Golgowski,https://www.huffingtonpost.com/entry/haunted-house-recreated-pulse-massacre_us_58160642e4b064e1b4b30687,An ad seeking volunteers for the Chicago event reportedly sought dancers and shooting victims.,2016-10-30,Nina Golgowski,https://img.huffingtonpost.com/asset/5c16cd41220000be01deb834.jpg?ops=100_100
49,QUEER VOICES,Haunted House That Planned To Recreate Scenes From Pulse Massacre Canceled,Nina Golgowski,https://www.huffingtonpost.com/entry/haunted-house-recreated-pulse-massacre_us_58160642e4b064e1b4b30687,An ad seeking volunteers for the Chicago event reportedly sought dancers and shooting victims.,2016-10-30,A haunted house that was being planned for a Chicago elementary school has been shut down over its controversial inclusion of real-life massacres.,https://img.huffingtonpost.com/asset/58161d73150000d804530a68.jpeg?cache=bT6devvZw2&ops=scalefit_720_noupscale
50,QUEER VOICES,Haunted House That Planned To Recreate Scenes From Pulse Massacre Canceled,Nina Golgowski,https://www.huffingtonpost.com/entry/haunted-house-recreated-pulse-massacre_us_58160642e4b064e1b4b30687,An ad seeking volunteers for the Chicago event reportedly sought dancers and shooting victims.,2016-10-30,The Chicago haunted house planned to feature scenes from Orlando's Pulse nightclub where dozens of people were shot and killed in June. ,https://img.huffingtonpost.com/asset/58161e4a150000d804530a69.jpeg?ops=scalefit_720_noupscale
51,WEIRD NEWS,Spanish Scrapyard Owner Beefs Up Security With Guard Bulls,Lee Moran,https://www.huffingtonpost.com/entry/spain-bulls-guard-dogs_us_5815d83be4b064e1b4b30264,"""The bulls can roam around freely in the yard and let’s hope they do their job,"" said Emilio Cerveró.",2016-10-30,Lee Moran,https://img.huffingtonpost.com/asset/5d243183250000b21ae9cc35.jpg?ops=100_100
52,WEIRD NEWS,Spanish Scrapyard Owner Beefs Up Security With Guard Bulls,Lee Moran,https://www.huffingtonpost.com/entry/spain-bulls-guard-dogs_us_5815d83be4b064e1b4b30264,"""The bulls can roam around freely in the yard and let’s hope they do their job,"" said Emilio Cerveró.",2016-10-30,"A scrapyard owner in eastern Spain has replaced his guard dogs with two fighting bulls, such as the one pictured above, following a series of break-ins at his business over the last few months.",https://img.huffingtonpost.com/asset/5815d963170000c3045ba9b5.jpeg?cache=mJ80hTMFnh&ops=scalefit_720_noupscale
53,WEIRD NEWS,Spanish Scrapyard Owner Beefs Up Security With Guard Bulls,Lee Moran,https://www.huffingtonpost.com/entry/spain-bulls-guard-dogs_us_5815d83be4b064e1b4b30264,"""The bulls can roam around freely in the yard and let’s hope they do their job,"" said Emilio Cerveró.",2016-10-30,,https://img.huffingtonpost.com/asset/62ead4be2400003400e151a7.jpeg?cache=Sw47ZOsG3m&ops=210_120
54,THE WORLDPOST,EU And Canada Sign Free Trade Deal But The Battle Isn't Over Yet,,https://www.huffingtonpost.com/entry/eu-canada-trade-deal_us_5816079ae4b0390e69d0c7b4,The contentious deal still faces hurdles.,2016-10-30,Reuters logo,https://cambria.assets.huffpost.com/images/partners/reuters.hash-80f2d07a2f31891e1501eaeb38dfb3b9.png
