,category,headline,authors,link,short descr,date,image_caption(s),image_link(s),article
0,PARENTING,Could My Daughter Be the Next Tina Fey?,"Liz Kozak, Contributor
Writer, mother, anxiety-haver",https://www.huffingtonpost.com/entry/tina-fey_us_5b9cc5c1e4b03a1dcc81ba07,"Last night, millions of viewers bid farewell to one of television's most beloved characters of all time: Liz Lemon. For so many of us awkward, nerdy, trying-to-make-it-in-this-crazy-world gals, she was an icon. For me, specifically, the Other Liz was a hero.",2013-02-01,"This undated image released by NBC shows Tina Fey as Liz Lemon in a scene from ""30 Rock."" Fey was nominated for an Emmy award for outstanding actress in a comedy series on Thursday, July 19, 2012. The 64th annual Primetime Emmy Awards will be presented Sept. 23 at the Nokia Theatre in Los Angeles, hosted by Jimmy Kimmel and airing live on ABC. (AP Photo/NBC, Ali Goldstein)",https://img.huffingtonpost.com/asset/5b9cc5c12000002d00fdb522.jpeg?ops=scalefit_720_noupscale,"Last night, millions of viewers bid farewell to one of television's most beloved characters of all time: Liz Lemon. For so many of us awkward, nerdy, trying-to-make-it-in-this-crazy-world gals, she was an icon. For me specifically, a struggling writer who posts here with the intent to tickle your Mommy Funnybone -- and whose favorite ""dress up"" outfit once consisted of a chunky red turtleneck sweater, black leather pants from Old Navy (I know, I know), white gym socks and red New Balance sneakers -- the Other Liz was a hero.Fade out on wistful nostalgia. Cut to poignant parenting moment.Earlier in the day, during a painfully unsuccessful attempt to teach my 15-month-old to color with crayons, something unexpected happened. Unprompted, she picked up the ripped, drool-soaked piece of yellow construction paper and lifted it up to veil her eyes.She was instigating Peek-a-Boo. She was doing her first comedy bit -- and by the grin on her face, she thought she was killing it.""Well, look at that,"" I said to her. ""You're a regular George Carlin."" Truth be told, I personally never found George Carlin that funny. But, let's be honest: on a scale of 1 to Fey, Peek-a-Boo registers at a negative Leno. Even so, I played along with her routine until the violent Hulk-style arching of her back against the high chair's harness suggested she'd had enough. ""And... scene!"" I believe the saying goes.I'd often wondered if my daughter would have a sense of humor, and it seems I got my answer. So peace out, Liz Lemon. Yesterday, the world met its brand new funny girl... and she's my hero.Read more from Liz Kozak at poseypieproductions.com."
1,WELLNESS,"Elite Athletes Have Better Thinking Skills Than University Students, Study Finds",,https://www.huffingtonpost.com/entry/athletes-thinking-skills-better-than-university-students_us_5b9cc54ee4b03a1dcc81b589,"For more ways that fitness can translate into brain benefits, click through the slideshow: The task, based on a test known",2013-02-01,"Uruguay's Diego Rolan, center, fights for the ball with Paraguay's players Junior Alonso, left, and Angel Cardozo during a U-20 South American soccer championship match in Mendoza, Argentina, Wednesday, Jan. 30, 2013. (AP Photo/Walter Moreno)",https://img.huffingtonpost.com/asset/5b9cc54e3c00005b0009e417.jpeg?ops=scalefit_720_noupscale,"Elite athletes don't just have more amazing bodies than the general public -- their brains may, in some ways, be more amazing, too.A new study in the journal Scientific Reports shows that the brains of elite athletes have greater visual perceptual and cognitive abilities than those of non-athlete college students -- that is, they're better at learning to track objects moving at a fast speed. ""Clearly, mental processing and learning skills are key to the excellent performance of the professional athletes. However, it is unclear whether this superior learning ability is unique to professional athletes, and moreover whether these are innate skills that led them to be selected by these teams, or whether these skills have been acquired through extensive training,"" study researcher Jocelyn Faubert, of the University of Montreal School of Optometry, said in a statement. ""It will therefore be interesting to see how individuals of all athletic abilities improve their perception score as they train with this system.""The study included 102 professional athletes from the English Premier League (soccer), the National Hockey League, and France's Top 14 (club rugby), as well as 173 elite amateur athletes. Thirty-three non-athlete college students were also included in the study. The researchers had all the study participants undergo a task called ""3D-MOT"" 15 times. (It should be noted that the study researcher is the CEO of a company that produces 3D-MOT commercially.) LiveScience explained how exactly the task worked:The task, based on a test known as the 3D-MOT procedure, works like this: A number of colored spheres are shown floating in 3D space. Four of the spheres flash a different color briefly, then blend back in with the other spheres for a period of eight seconds. The viewer must keep track of the four that changed color, and identify them after the spheres stop moving. If the viewer makes errors, the spheres slow down; if he or she is accurate, the spheres speed up.Researchers found that the elite athletes did better on the test than the university students.""Although the context had nothing to do with any specific sport, we found that professional athletes were able to process the visual scenes much better than amateur athletes who were in turn better than the students,"" Faubert said in the statement. For more ways that fitness can translate into brain benefits, click through the slideshow:"
2,WELLNESS,Are We Listening to What Nature Is Howling At?,"Dr. Michael Finkelstein, Contributor
Founder of SunRaven, Former Chief of Integrative Medicine and ...",https://www.huffingtonpost.com/entry/wolf-moon_us_5b9cc54fe4b03a1dcc81b5b8,"In many cultures, the full moon in January is referred to as the Wolf Moon. As we think this through a bit more, we realize that the wolf is not howling at the moon but at his pack mates. This is their time for communication, when the earth rests still and their voices carry best.",2013-02-01,"Two arctic wolves stand in the snow on January 16, 2013 at the small zoo of Servion, Western Switzerland. AFP PHOTO / FABRICE COFFRINI (Photo credit should read FABRICE COFFRINI/AFP/Getty Images)",https://img.huffingtonpost.com/asset/5b9cc54f3c00005b0009e419.jpeg?ops=scalefit_720_noupscale,"In many cultures, the full moon in January is referred to as the Wolf Moon. Not coincidentally, a popular image, one that's often depicted through illustrations, reveals an energized and powerful silhouette in the night's light of an animal seemingly wailing at a celestial being that will never answer its calls.But, interestingly, as we think this through a bit more, we realize that the wolf is not howling at the moon but at his pack mates. This is their time for communication, when the earth rests still and their voices carry best. With that in mind, as we ponder this image and consider this time in the cycle of our own lives, in the deep heart center of the winter season, we can easily appreciate how much force it would take to move us from our slumber. Indeed, we need the howling wolf to hear the message... and, what might that be?Considering recent events, I think the answer is apparent. As a culture, we must deal with the use of guns and reevaluate the question of civil liberties and rights associated with our laws concerning them. As difficult and contentious a subject as this might be, the wolf howling in our backyard tonight is imploring us to respond and take this on, consider it with the full attention that it deserves and not to fall back into our trenches. No, the time has come to take action and make some adjustments in order to save our pack.All of that being said, there's still no simple answer. And I am not going to suggest one here. But, like the members of the pack of wolves, they listen to each other. They couldn't survive otherwise. And for us too, this is a good time to remember the value of listening and hear what is being said. In order to move forward, we need to respect each other and stay together.A friend of mine recently told me a story of the impact it had on her life when, as a child, her friend was hit by a car and badly injured. The friend remained in critical condition for weeks after the accident, and it was unclear whether she would survive. It affected her so much so that it actually resulted in a change of behavior. Identifying a new type of fragileness for life, and in an attempt to avoid the notion of having to say goodbye to her friend or to anyone else she cared deeply about, she actually stopped using the word ""goodbye"" for some time. Although subtle, her mother picked up on this, and kept a reciprocal distance from the phrase out of respect for her daughter, until her friend recovered and they both adapted it again. It wasn't until years later that they discussed it, but she never forgot how taking her slight behavioral shift as a cue, rather than just simply a new habit or circumstance, kept her mother more attune to the message she was expressing.Now, take this story and relate it back to nature. In this case, my friend's howling was heard, as subtle as it was. And her mother kept this secret safe until it was ready to be released.Now, take this occurrence in nature and relate it inward. Think of the wolf as a metaphor for a person, and the pack as a metaphor for their community. Many a howl we've let out, calling for hope, support, change or danger, and many have discounted it, regarding it as business as usual. But like the wolf, we have allies who may not be in plain sight, or better yet, we may be one of those hidden allies. In this, we can see that as a group, we are greater than the sum of our parts. And while wolves utilizes their sharp skills of cooperation, working together to achieve their goals of survival, we too can work in cooperation -- regardless of our individual beliefs -- to achieve our goals as well.For more by Dr. Michael Finkelstein, click here.For more on wisdom, click here."
3,STYLE & BEAUTY,Fashion Week Prep,"Ann Yee, Contributor
Fashion designer",https://www.huffingtonpost.com/entry/fashion-week-prep_us_5b9cc581e4b03a1dcc81b7ab,"For me, a fashion show is about curating the vision I've been researching for months into a tangible production that everyone can get something out of.",2013-02-01,"NEW YORK - SEPTEMBER 06: Designer Kimberly Ovitz greets guests during Fashion's Night Out at Saks Fifth Avenue on September 6, 2012 in New York City. (Photo by Arun Nevader/Getty Images for Saks Fifth Avenue)",https://img.huffingtonpost.com/asset/5b9cc580240000510094d08f.jpeg?ops=scalefit_720_noupscale,"Take out the craziness of Fashion Week prep and you're left with one chance: to transform an idea into reality. For me, a fashion show is about curating the vision I've been researching for months into a tangible production that everyone can get something out of. The best part of designing any collection is seeing it come together when that first look hits the runway.For fall 2013, I thought a lot about the defense mechanisms people project to the world and began to explore the ways in which these mindsets are empowering. This got me thinking about the world of nature and the methods of defense inherent in certain animals and insects like beetles, scorpions and dart frogs. We translated the concept of natural protection metaphorically in a balance of light and dark, and literally in pieces like the trapunto-stitched jackets resembling the padded armor of trilobites.Color was huge for me, which is specific to this collection but I wouldn't say it's a departure from who I am -- it's just about looking at nature in a different way. When you hear ""nature"" you think about muted, earthy tones, which isn't always the case. The vivid colors and prints exist in nature, but look synthetic since you're not around them every day, which was an interesting dichotomy to explore.Casting models was tricky since we were after such a specific look. Definitely strong girls that looked beautiful naturally and carried themselves with confidence, but there was also a focus on specific features like eyes spaced farther apart and rounder faces. Ethereal but hard around the edges: a look that would render the collection as a kind of shield. Hair and makeup grounded the concept in reality. I don't want to give too much away, but think ""protected.""I'm most excited about the debut of my first jewelry collection with Shapeways 3D Printing marketplace. Not only does it translate the idea of exoskeletons into armor you can actually wear, but its innovation lies in its immediacy. Today is all about the ""nowness"" of fashion; everyone wants something at the click of a button the first time they see it. Now they don't have to wait four months until next season; they can order straight from the runway. This is the future of fashion, and it begins with Kimberly Ovitz fall 2013."
4,FOOD & DRINK,Sweet Potatoes Stuffed With Black Bean Salsa - The Lemon Bowl,"Liz Della Croce, Contributor
The Lemon Bowl",https://www.huffingtonpost.com/entry/sweet-potatoes-stuffed-wi_us_5b9cc604e4b03a1dcc81bbe2,"When it comes to creating a nutritious meal that is also packed with flavor, I love stuffing sweet potatoes. Not only are they loaded with vitamins and nutrients, but they make the perfect edible bowl for anything from turkey chili to the spicy black bean salsa.",2013-02-01,2013-02-01-SweetPotatoToppedwithBlackBeanSalsaTheLemonBowl.jpeg,https://images.huffingtonpost.com/2013-02-01-SweetPotatoToppedwithBlackBeanSalsaTheLemonBowl.jpeg,"When it comes to creating a nutritious meal that is also packed with flavor, I love stuffing sweet potatoes. Not only are they loaded with vitamins and nutrients, but they make the perfect edible bowl for anything from turkey chili to the spicy black bean salsa that I'm sharing here today.Whether you are a strict vegetarian, a vegan or simply want to incorporate more meatless meals into your family's diet, my Sweet Potatoes Stuffed with Spicy Black Bean Salsa are kid-friendly and packed with protein. If you want to lower the heat level, skip the jalapeno. Prefer it on the spicy side? Leave the ribs and seeds in tact when mincing -- that's where the heat lives. As always, this recipe is more of a method than a strict set of guidelines. Feel free to use whatever beans and veggies you have on hand to make it your own. Throwing a party? Create a toppings bar and let your guests garnish their sweet potatoes with anything from cilantro to lime wedges to Greek yogurt.  The options are endless and so are the flavor opportunities. No one will have any idea they are filling their bodies with hefty dose of fiber, potassium, vitamin C, beta-carotene and more.Your fork is waiting. Sweet Potatoes Stuffed with Spicy Black Bean SalsaServes 4Ingredients:4 medium sweet potatoes 14 oz can black beans - drained and rinsed 1 red pepper - seeded and diced 2 scallions - minced ￂﾼ cup cilantro - minced Juice and zest of one lime 2 tablespoons minced jalapeno 1 garlic clove - grated 1 teaspoon cumin 1 teaspoon smoked paprika salt and pepper to tasteDirections:Pierce the skin of each sweet potato two to three times then microwave on a large plate for six minutes or until fork-tender.While sweet potatoes are cooking, combine all remaining ingredients in a small bowl (black beans through smoked paprika.) Check for seasoning and add salt and pepper to taste.When sweet potatoes are cool enough to handle, slice them open vertically to create a nice little opening.Mound each sweet potato with equal portions of the black bean salsa. Serve with lime wedges and cilantro. Nutritional Information: 253 calories; .9 g fat; .1 g sat fat; 0mg cholesterol; 454 mg sodium; 56.2 g carbohydrate; 12.3 g fiber; 10.7 g protein."
5,STYLE & BEAUTY,Psyching Up for Alexander Wang's Debut at Balenciaga,"Sally Lyndley, Contributor
Fashion stylist",https://www.huffingtonpost.com/entry/alexander-wang-balenciaga-debut_us_5b9cc6a6e4b03a1dcc81c0ba,"While Nicolas Ghesquière was always painstakingly chic and on the mark with his collections, Alexander Wang has a sense of humor and irony that only a crazy American can create.",2013-02-01,"NEW YORK, NY - OCTOBER 23: Alexander Wang attends the Maison Martin Margiela with H&M global launch event at 5 Beekman on October 23, 2012 in New York City. (Photo by Jamie McCarthy/Getty Images for H&M)",https://img.huffingtonpost.com/asset/5b9cc6a62200005600d95f44.jpeg?ops=scalefit_720_noupscale,"Much to my happiness and surprise, Alexander Wang emailed me (me and everyone else on his website email subscription list) a new video he has created leading up to Fashion Week featuring the fashion cult favorite, Bon Qui Qui from Mad TV. Now I have heard about 200 drunken impersonations of Bon Qui Qui over the years, but seeing the real BQQ staged as a worker in Wang's Soho store was freaking genius. Not only does she piss off Brazilian Victoria's Secret Angel Alessandra Ambrosio, she also offends Simon Doonan, creative director at Barneys New York, by calling him a ""toddler in a wallpaper shirt"" and imposes her own music talent on A$AP Rocky. Freaking genius.This video epitomizes why Alexander Wang is SO freaking cool. And why I am overly excited for his debut in Paris at Balenciaga this upcoming month. Nicolas Ghesquière, who used to hold the Balenciaga helm position, is also breathtakingly cool, but in a different way. Alexander Wang had Courtney Love perform in a gas station kegger at one of his after-parties. He is overwhelmingly right on the pulse of awesome new vibes and the best people and references from the past. While Nicolas Ghesquière was always painstakingly chic and on the mark with his collections, Alexander Wang has a sense of humor and irony that only a crazy American can create.Another reason I am overly excited about Alexander Wang at Balenciaga is that his clothes are incredibly wearable. Wang's first couple of collections for his self-titled line were the best in basics; tees, denim, dresses, jackets and sweatshirts. What a girl really wears, day in and day out. Balenciaga hasn't seen that kind of accessiblity in years. Also, Wang's own collection is very well-priced. And his T by Alexander Wang line is, in my book, down right affordable. I hope to the lords of fashion that the powers that be at Balenciaga take a note from Wang's own success at a lower price point. It would be incredible if Balenciaga did a few items each seson at an affordable price point.Go Alex! I will be cheering you on from NYC! Super stoked to see what this incredible young fashion talent brings to the table for his Paris debut!Watch my Fashion Rant on Look TV for more background on Balenciaga, Nicolas Ghesquière and Alexander Wang:"
6,PARENTING,A Parental Perspective on Super Bowl Lingo,"Joel Schwartzberg, Contributor
Public Speaking Trainer and Author of ""Get to the Point!""",https://www.huffingtonpost.com/entry/super-bowl_us_5b9cc6a1e4b03a1dcc81c067,"You'd be surprised how many common football terms can apply to the equally-combative and tactical world of full-contact parenting. So, in honor of Sunday's Super Bowl, I offer these offensive and defensive double-meanings. Which is your favorite?",2013-02-01,"Footballs selected as actual official game balls for the NFL football Super Bowl XLVII await to be shipped to New Orleans at Wilson Sporting Goods Co. in Ada, Ohio, Monday, Jan. 21, 2013. (AP Photo/Rick Osentoski)",https://img.huffingtonpost.com/asset/5b9cc6a12000004e00fdb581.jpeg?ops=scalefit_720_noupscale,"You'd be surprised how many common football terms can apply to the equally-combative and tactical world of full-contact parenting. So, in honor of Sunday's Super Bowl, I offer these offensive and defensive double-meanings. Which is your favorite?First Down! A parent's exclamation after the younger of two siblings goes to sleep.Running Back What you do five minutes after you've left the house without ample pacifiers.Half-time How to settle the issue of two kids on fighting over one cookie.Good Field Position A shady picnic spot in the park far from dog poop.Red Zone What keeps the makers of Vaseline in business.Offensive Line ""Shut up!""Defensive Line ""But she hit me first!""30-Second Time-Out When you're just too busy to give a full one.Instant Replay What happens when the first restaurant-menu tic-tac-toe game ends in a tie.Extra Point The benefit of mechanical pencils over typical #2s.Tight End The part of a child's sock hardest to put on.One-Hand Reception When you hold a kid with one hand and take a phone call with the other.Flea-Flicker The family dog, especially when lounging on your child's bed.Turnover The point at which one child's allotted water-fountain period ends and another's begins.Strong Safety ""Hold my hand! We're in a parking lot!""Joel Schwartzberg is a nationally published personal essayist and author of the collection The 40-Year-Old Version."
7,TRAVEL,Argentina Travel: Rafting A Chocolate River In Wine Country (PHOTOS),,https://www.huffingtonpost.com/entry/argentina-travel-rafting-mendoza_us_5b9cc5ede4b03a1dcc81bad7,The rapids along the stretch of the Mendoza frequented by rafting tour operators run from level three to four on the International,2013-02-01,"Tourists paddle through the rapids in the muddy waters of the Mendoza river near Potrerillos, Argentina on January 29, 2013. AFP PHOTO / DANIEL GARCIA (Photo credit should read DANIEL GARCIA/AFP/Getty Images)",https://img.huffingtonpost.com/asset/5b9cc5ed25000035003633a1.jpeg?ops=scalefit_720_noupscale,"The Mendoza River is a chocolate brown sluiceway punctuated by rapids that fall neatly in the range of fun but not terrifying. The river runs away from the base of the towering Andes through the small Argentine town of Potrerillos near the city of Mendoza. The experience of sliding down this river is so scenic it comes as little surprise it has also become so popular.Mendoza is malbec central and, as such, tends to attract a sophisticated crowd of adventurous oenophiles. The Mendoza River makes a great break from the wine tasting and provides a way to burn off some of the calories from all the grilled meat hawked in town.The rapids along the stretch of the Mendoza frequented by rafting tour operators run from level three to four on the International Scale of River Difficulty; think of it as geometry rather than calculus. The only complicating factor is that the river itself, having so recently cascaded from altitude, is quite cold. Wetsuits are encouraged, and all-weather gear is an absolute necessity.For those willing to raft a little further than others, the Potrerillos Reservoir, a lake formed by the massive dam blocking the river, is a lovely place to relax in the sun. The weather is temperate and the breezes are invariably cool. This is wine country after all. On shore there are hiking trails that travelers can follow to scenic overlooks, but all that time spent walking would be better spent, realistically, with a glass of malbec in hand."
8,STYLE & BEAUTY,What a Ravens Fan Is Wearing to the Super Bowl,"Ada Polla, Contributor
CEO & Co-Founder of Alchimie Forever",https://www.huffingtonpost.com/entry/super-bowl-ravens-outift_us_5b9cc5eee4b03a1dcc81bb19,"Being the Patriots fan that I am, appreciating equally passionate Ravens fans is excessively challenging. However, I make an exception for the beautiful (inside and out) Hilary Phelps. This morning, we chatted instead about what she is planning to wear.",2013-02-01,"FOXBORO, MA - JANUARY 20: A fan holds up a giant photo of the face of Ray Lewis #52 of the Baltimore Ravens during the 2013 AFC Championship game at Gillette Stadium on January 20, 2013 in Foxboro, Massachusetts. (Photo by Jim Rogash/Getty Images)",https://img.huffingtonpost.com/asset/5b9cc5ee2100003000c54217.jpeg?ops=scalefit_720_noupscale,"Being the Patriots fan that I am, Super Bowl XLVII is not exactly happening the way I had intended it to. Also being the Patriots fan that I am, appreciating equally passionate Ravens fans is excessively challenging. However, I make an exception for the beautiful (inside and out) Hilary Phelps, creative director of hilaryphelps.com. A Baltimore native, Hilary loves ""her"" Ravens as much as I love ""my"" Patriots. And, lucky her, she is headed to the biggest game of the year. This morning, over a breakfast of green tea and fresh fruit (she is a vegan, I am on a diet), avoiding too much football talk, we chatted instead about what she is planning to wear during her time in New Orleans.Hilary is no stranger to exclusive sporting events, having spent time in London last year for the Olympics. To her, however, the Super Bowl is special: ""It is more than a football game, it's a huge party. It is one of the only occasions (outside of the Olympics) that brings people together from all industries, including sports, music, film and more."" As such, outfits during Super Bowl-related events have to be both comfortable and fashionable. Here is a rundown of what she plans on wearing:Friday, February 1, for the plane ride from Baltimore to New Orleans: ""I'll be wearing cuffed jeans, flats (heels in airports can be treacherous), a purple sweater and a purple scarf."" She then enlightened me as to the tradition of Purple Fridays in Baltimore. ""Every Friday in Baltimore is Purple Friday."" Friday, February 1, ESPN party  Her go-to party outfit features her favorite leather black pants and pointy heels. To that, she will add a Rag & Bone black-and-white blazer and chunky earrings. Saturday, February 2, Brunch with her BFF For brunch with her bestie Carrie, another huge Ravens fan whose birthday it is on Saturday, she'll wear skinny jeans and flats, ""so that we can walk around the French Quarter after brunch."" A white collared button-down shirt and the same purple scarf as the one she will wear Friday will complete the outfit, while still representing her team colors. In case it rains, ""I'll bring my light camel-colored J. Crew trench coat.""Sunday February 3, Super Bowl For the last two games (against Denver and New England), Hilary has worn the exact same outfit. While she is somewhat superstitious, she admits: ""I just don't think I can wear it to this game, it's way too casual."" Indeed, the day the Ravens played Denver, Hilary decided to wear her Ray Lewis t-shirt that says ""Welcome to Baltimore"" to her yoga class before watching the game. Home after yoga, still in that shirt, she slipped on a pair of Under Armour workout pants and a black double-breasted comfy sweatshirt, and happily cheered. Come the following Sunday, the same outfit made its appearance for the New England game, with a similar effect. After giving much thought and consideration to her outfit for Super Bowl Sunday, she has decided on the following: a purple shirt and a white Zara blazer with black skinny jeans, and a pair of heels. Comfortable and chic, ""this will be my outfit for the NFL tailgate which will flow into the game."" Any fashion no-nos, I ask? ""Anything red..."" No surprise there."
9,TRAVEL,David Beckham Paris: Mayor Calls Soccer Player The City's Latest 'Tourist Draw',,https://www.huffingtonpost.com/entry/david-beckham-paris-mayor_us_5b9cc5d9e4b03a1dcc81ba8f,"As if the Eiffel Tower and Notre Dame Cathedral weren't enough, tourists the world over have yet another reason to visit",2013-02-01,"British soccer player David Backham, poses with his new jersey in front of the PSG logo during a press conference, at the Parc des Princes stadium in Paris, Thursday, Jan. 31, 2013. David Beckham will join Paris Saint-Germain on Thursday, opting for a move to France after mulling over lucrative offers from around the world since leaving the Los Angeles Galaxy.(AP Photo/Michel Euler)",https://img.huffingtonpost.com/asset/5b9cc5d92000004e00fdb527.jpeg?ops=scalefit_720_noupscale,"As if the Eiffel Tower  and Notre Dame Cathedral weren't enough, tourists the world over have yet another reason to visit Paris: David Beckham.On Europe 1 radio on Friday, Paris' mayor, Bertrand Delanoe, said of the news of Beckham's 5-month contract with Paris St-Germain team, ""It is very good news, which only adds to the image of Paris in the world.... He is a great sporting personality with an international audience.... It's great for this city which is already the top tourist destination in the world and where 10 percent of jobs are in the tourist industry,"" Reuters reports. While on the team, Beckham has said he will stay in a hotel in town; his family, including Posh Spice, will continue to reside in London. He will donate his salary to a local children's charity. If David Beckham isn't your type of attraction, check out our ode to the Eiffel Tower below. "
